"X.U.FEFF.Comment","text_tokens","V3"
"Ksiera saber si está abierta la agencia de Metrocentro sonsonate ??"," ","ksiera saber si estar abrir el agenciar de metrocentro sonsonate ? ?"
"Yo he solicitado mi anticipó y a la fecha no me han dicho nada que mal servicio están dando y Sonsonate cerrado para ir a preguntar"," ","yo haber solicitar mi anticipar y a el fechar no me haber decir nadar que mal servicio estar dar y sonsonate cerrar parar ir a preguntar"
"Quiciera mi estado de cuenta por fa"," ","quiciera mi estar de contar por fa"
"AFP CONFIA estado de cuenta "," ","afp confia estar de contar"
"Quisiera saber como puedo hacer mi cita "," ","querer saber comer poder hacer mi citar"
"Maria Maria Moran Moarn quisiera saber si alguien que cumple años en junio 45 años puede hacer el 25% de adelanto"," ","maria maria morar moarn querer saber si alguien que cumplir año en junio 45 año poder hacer el 25 % de adelantar"
"Como aser mi cita"," ","comer aser mi citar"
"hola hola Buenos días una consulta si alguien le depositan lo que es el dinero ya de retiro la pensión desde retirar dinero en qué banco lo ponen o se puede meter meter a otro banco que no sé el agrícola"," ","hola hola bueno día unir consultar si alguien le depositar el que ser el dinero ya de retirar el pensión desde retirar dinero en qué banco el poner o se poder meter meter a otro banco que no saber el agrícola"
"Soy Jaime Ernesto Perla Rojas el 12 de enero 2021 presente por Whatsa mi sobrevivencia pero no he recibido respuesta si fue aceptada"," ","ser jaime ernesto perla rojo el 12 de enero 2021 presentar por whatsa mi sobrevivencia pero no haber recibir respuesta si ir aceptar"
"Hola buenas tardes mi hijo en diciembre tenía la cita de sobrevivencia y la agencia de soyapango y la dela Juan Pablo están cerradas no y estado llamando a atención al cliente y no me sale la yamadas me podrían ayudar porfavor"," ","hola bueno tardar mi hijo en diciembre tener el citar de sobrevivencia y el agenciar de soyapango y el dela juan pablar estar cerrada no y estar llamar a atención al cliente y no me salar el yamadas me poder ayudar porfavor"
"Yo en julio cumplo los 55 en julio cuando puedo empezar arreglar papeles de jubilacion"," ","yo en julio cumplir el 55 en julio cuando poder empezar arreglar papel de jubilacion"
"Quiero aser una cita AFP CON FIA para el MIÉRCOLES por favor"," ","querer aser unir citar afp con fia parar el miércoles por favor"
"Me pueden mandar por favor un calendario de pago a mi Whasaap"," ","me poder mandar por favor uno calendario de pagar a mi whasaap"
"Buenas tardes, como se hace para ver estado de cuenta en lines si el documento con el que se afilio fue la cedula?"," ","bueno tardar , comer se hacer parar ver estar de contar en lines si el documentar con el que se afiliar ir el cedula ?"
"Margarita Ramirez eso es muy cierto q con la cédula nos afiliamos y la Afp no define q hacer y el Dui ni su número aceptan"," ","margarita ramirez ese ser muy cierto q con el cédula no afiliar y el afp no definir q hacer y el dui ni su número aceptar"
"Necesito una cita para la próxima semana me la pueden enviar a messenger por favor,no se a que sucursal ir , necesito el 25% de mis ahorros de 22 años"," ","necesitar unir citar parar el próximo semana me el poder enviar a messenger por favor , no se a que sucursal ir , necesitar el 25 % de mi ahorro de 22 año"
"Muchas gracias por su atención e información, buenas noches"," ","mucho gracia por su atención e información , bueno noche"
"Como puedo ASER una sita"," ","comer poder aser unir sito"
"Quisiera una sita"," ","querer unir sito"
"Ok grasias"," ","ok grasias"
"Hola como hacer para obtener cita"," ","hola comer hacer parar obtener citar"
"Hola necesito información para obtener 25%"," ","hola necesitar información parar obtener 25 %"
"Yo quisiera una respuesta satisfactoria que me explicaran por que para el retirro del 25% de mis ahorros  no cuentan los años cotisados con el seguro cuando lad afp absorbieron ese dinero tengo 8 años cotisados con el seguro y seis con afp confia y el requisito es de diez años como minimo cotisados y yo tengo 14 años y tengo cincuenta años cunplo con los requisitos pero no aplico para la devolucion del 25%"," ","yo querer unir respuesta satisfactorio que me explicar por que parar el retirro del 25 % de mi ahorro no contar el año cotisados con el seguro cuando lad afp absorber ese dinero tener 8 año cotisados con el seguro y seis con afp confia y el requerir ser de diez año comer minimo cotisados y yo tener 14 año y tener cincuenta año cunplo con el requerir pero no aplicar parar el devolucion del 25 %"
"Como puedo aser para obtener mi estado de cuanta"," ","comer poder aser parar obtener mi estar de cuanto"
"Kiero mi estado de cuenta llamo y no contestan me urge"," ","kiero mi estar de contar llamar y no contestar me urgir"
"Buenas tardes, como hago para solicitar mi anticipo de 25% reúno los requisitos.Hay alguna dirección para solicitarlo"," ","bueno tardar , comer hacer parar solicitar mi anticipar de 25 % reunir el requisitos.hay alguno dirección parar solicitarlo"
"Idalia Huezo  Si deseas optar a un anticipo de saldo, no debes estar pensionado y tienes que registrar al menos 10 años de cotizaciones continuas o discontinuas. Además, puedes solicitar un anticipo según tu edad. Para mayor información, puedes consultar en https://www.mianticipoconfia.com... esa info me enviaron a mi..  le comparto. A ñartir del dia p4 del prese te mes y año puede comenzar a solicitarlo"," ","idalia huezo si desear optar a uno anticipar de saldar , no debe estar pensionar y tener que registrar al menos 10 año de cotización continuo o discontinuo . además , poder solicitar uno anticipar según tu edad . parar mayor información , poder consultar en https://www.mianticipoconfia.com.. . ese info me enviar a mi . . le compartir . a ñartir del dia p4 del prese te mes y año poder comenzar a solicitarlo"
"Siquisiera solisitar un antisipo"," ","siquisiera solisitar uno antisipo"
"Como puedo aserlo"," ","comer poder aserlo"
"Quisiera aserlo en una sucursal adonde puedo ir"," ","querer aserlo en unir sucursal adonde poder ir"
"Necesito un anticipo"," ","necesitar uno anticipar"
"AFP CONFIA cuales son los requisitos "," ","afp confia cual ser el requerir"
"Buenas tardes , quisiera saber cuáles son los requisitos para solicitar un anticipo"," ","bueno tardar , querer saber cuál ser el requerir parar solicitar uno anticipar"
"Cuáles son los requisitos para saber si aplico"," ","cuál ser el requerir parar saber si aplicar"
"Maritza Garcia "," ","maritza garcia"
"Lucero pero para esos trámites tengo que ir personalmente para ASER los trámitesdel Cid "," ","lucero pero parar ese trámite tener que ir personalmente parar aser el trámitesdel cid"
"Hola buenas tardes quisiera saber mi estado de cuenta y como solicitar un anticipo.tengo52años"," ","hola bueno tardar querer saber mi estar de contar y comer solicitar uno anticipo.tengo52años"
"Información para solicitar anticitpode 25%"," ","información parar solicitar anticitpode 25 %"
"Buenas tardes requisitos para devolución de cotizado por favor."," ","bueno tardar requerir parar devolución de cotizar por favor ."
"Buenos dias"," ","bueno dias"
"Mire fíjese que mi esposo tiene una semana de estar llamando Porque a el en el fonfonle están pidiendo las últimas cotizaciones"," ","mirar fíjese que mi esposar tener unir semana de estar llamar porque a el en el fonfonle estar pedir el último cotización"
"Ok gracias"," ","ok gracia"
"Buenos días Feliz Año desearía mi estado de cuenta por favor"," ","bueno día feliz año desear mi estar de contar por favor"
"Hola buenas tardes quisiera saber q mes me toca firmar la  sobre vivencia ya q firmó dos Veces al año gracias"," ","hola bueno tardar querer saber q mes me tocar firmar el sobrar vivencia ya q firmar do vez al año gracia"
"Buenas noches quiero saber mi estado de cuenta por favor"," ","bueno noche querer saber mi estar de contar por favor"
"Buenas tardes una pregunta hay que ir a firmar la supervivencia"," ","bueno tardar unir preguntar haber que ir a firmar el supervivencia"
"Será que me pueden informar cuando depositaran pensión de enero"," ","ser que me poder informar cuando depositar pensión de enero"
"MD Sandoval holasera.el25"," ","md sandoval holasera.el25"
"Sandra Barrera "," ","sandra barrera"
"Buenas tardes solicité un estado de cuenta por correo hace varios días ya no me correspondieron"," ","bueno tardar solicitar uno estar de contar por correar hacer vario día ya no me corresponder"
"Deceo saber sobre pensiones  tengo 55 años "," ","deceo saber sobrar pensión tener 55 año"
"Buen día me gustaría solicitar un estado de cuenta "," ","bueno día me gustar solicitar uno estar de contar"
"Bueno ya ise eso con eso de Tessa y nome sale para yamar para sobre viviencia"," ","bueno ya ise ese con ese de tessa y nome salar parar yamar parar sobrar viviencia"
"Que paso con mi pregunta Señores porfavor denme Respuesta les pregunte que sera de mi esposa al fallecer  si soy pencionado con el decreto 100, y si ya no tengo saldo en mi pencion pues tengo pencion vitalicia le daran pencion o la dejaran que pida limosna para sobrevivir por favor contesten para mi es importante y creo que para muchos ya van varias preguntandoles lo mismo y no me Responden entonces que tengo derecho hacer informado"," ","que pasar con mi preguntar señor porfavor denme respuesta les preguntar que sera de mi esposar al fallecer si ser pencionado con el decretar 100 , y si ya no tener saldar en mi pencion pues tener pencion vitalicio le daran pencion o el dejar que pedir limosna parar sobrevivir por favor contestar parar mi ser importante y crear que parar mucho ya ir vario preguntandoles el mismo y no me responder entonces que tener derecho hacer informar"
"Tessa desconoce mi número de documento dice que no existo"," ","tessa desconocer mi número de documentar decir que no existir"
"Buenas necesito saber cómo hacer para obtener mi historial laboral ya que la agencia más cercana está cerrada"," ","bueno necesitar saber cómo hacer parar obtener mi historial laboral ya que el agenciar más cercano estar cerrar"
"AFP CONFIA muchas gracias "," ","afp confia mucho gracia"
"Alexander Anaya 2267 7777"," ","alexander anaya 2267 7777"
"Mati Escobar gracias "," ","mati escobar gracia"
"Hola... Mi mama ha perdido su DUI y estamos en el exterior para su cita de DUI es hasta junio y ella necesita presentar en Marzo para control de supervivencia.. puede ella presentar el pasaporte? De antemano muchas gracias!"," ","hola . . . mi mamar haber perder su dui y estar en el exterior parar su citar de dui ser hasta junio y él necesitar presentar en marzo parar control de supervivencia . . poder él presentar el pasaportar ? de antemano mucho gracia !"
"Y para menor de edad como se puede aser porque dice video yamada y nunca la enlazan"," ","y parar menor de edad comer se poder aser porque decir video yamada y nunca el enlazar"
"Yo cotise ala afp 8 años y medio me pueden dar la devolución espliquenme porfa"," ","yo cotise ala afp 8 año y mediar me poder dar el devolución espliquenme porfa"
"AFP CONFIA ayuda  por favor me pudieran dar la devolución de mi ahorro que quise  durante 8 años y medio porque tengo 11 años que no volví a cotizar por problemas de salud y mi edad que es muy avanzada ya ayúdenme por favor"," ","afp confia ayudar por favor me poder dar el devolución de mi ahorrar que querer durante 8 año y mediar porque tener 11 año que no volver a cotizar por problema de salud y mi edad que ser muy avanzar ya ayúdenme por favor"
"AFP CONFIA quisiera que me brindarán mi historial laboral para verificar si ya tengo los años cotizados"," ","afp confia querer que me brindar mi historial laboral parar verificar si ya tener el año cotizar"
"Cuando depositaran la pension del mes de enero"," ","cuando depositar el pension del mes de enero"
"ED Chevez Gracias Señor ED Chevez"," ","ed chevez gracia señor ed chevez"
"Como saco mi estado de cuenta"," ","comer sacar mi estar de contar"
"Que fia haran deposito en banco ?"," ","que fia haran depositar en banco ?"
"Hola buenas noche quiero saber algo alos cuántos años les pueden prestar un porcentaje de sus ahorro"," ","hola bueno noche querer saber algo alos cuánto año les poder prestar uno porcentaje de su ahorrar"
"necesito el estado de cuenta"," ","necesitar el estar de contar"
"Señores de afp confía yo necesito un estado de cuenta ya me metí a Tessa y seguí todos los pasos y no me resuelven nada"," ","señor de afp confiar yo necesitar uno estar de contar ya me meter a tessa y seguir todo el paso y no me resolver nadar"
"Yo quiero sacar mis ahorros ya tengo 61 años "," ","yo querer sacar mi ahorro ya tener 61 año"
"Una pregunta  si no tengo los 55 años no me pueden devolver lo cotizado aunque ya no trabaje  "," ","unir preguntar si no tener el 55 año no me poder devolver el cotizar aunque ya no trabajar"
"Hi quiero saber como me comunico con impep porque yo trabaje antes que salieran las afpy en mi estado de cuenta me faltaron varias empresas en las que trabaje ejemplo: El dorado sa de cv aluminios de el salvador multipezca  veealmar y en una alcaldia de conchagua"," ","hi querer saber comer me comunicar con impep porque yo trabajar antes que salir el afpy en mi estar de contar me faltar vario empresa en el que trabajar ejemplo : el dorar sa de cv aluminio de el salvador multipezca veealmar y en unir alcaldia de conchagua"
"Patria Libre "," ","patrio librar"
"Amén"," ","amén"
"Yo tengo 54años será g ya puedo tramitar el retiro de mi dinero g regisitos piden necesito información porfa"," ","yo tener 54años ser gramo ya poder tramitar el retirar de mi dinero gramo regisitos pedir necesitar información porfa"
"Blanca Mejia "," ","blanco mejia"
"Buedia mi nieto es benefisiario dela afp y este mes nole depositaron que puedo aser"," ","buedia mi nieto ser benefisiario dela afp y este mes nole depositar que poder aser"
"Mi nombre es José Alfredo Navarrete Muñoz  ya ise todos los trámites  asta me mandaron a sacar la cita de ahorro y me dijeron q  en un mes me llamarían eso fue el 4 de diciembre y hasta ahora nada "," ","mi nombrar ser josé alfredo navarrete muñoz ya ise todo el trámite asta me mandar a sacar el citar de ahorrar y me decir q en uno mes me llamar ese ir el 4 de diciembre y hasta ahora nadar"
"Mi estado de cuenta"," ","mi estar de contar"
"Buenas tarde lo que necesito es mi estado de cuenta gracias"," ","bueno tardar el que necesitar ser mi estar de contar gracia"
"Desde hace tres días estoy mandando los datos y no me responden"," ","desde hacer tres día estar mandar el dato y no me responder"
"Buenas noches. Yo hice la consulta de supervivenvia en la red me salio la chica robot. Luego me dio. 4 alternativas la cual fue la de supervivenvia posteriormente me mando a cinco preguntas que ninguna concordaba y escribi la 5 o sea ninguna. Porque lo que quiero saber es como hacer para que mi hna siga recibiendo la pensión ya que es una persona con discapacidad. Luego me dijo que no me pidia ayudar que esperará con un asesor a ser atendida hasta estas horas de la noche estoy esperando respuesta......."," ","bueno noche . yo hacer el consultar de supervivenvia en el red me salio el chico robot . luego me dar . 4 alternativa el cual ir el de supervivenvia posteriormente me mandar a cincar pregunta que ninguno concordar y escribi el 5 o ser ninguno . porque el que querer saber ser comer hacer parar que mi hna seguir recibir el pensión ya que ser unir personar con discapacidad . luego me decir que no me pidia ayudar que esperar con uno asesor a ser atender hasta este hora de el noche estar esperar respuesta . . . . . . ."
"Les recomiendo escribirle por cualquier Red ya sea whatsapp o messenger yo lo hice y ya me enviaron el estado de cuenta solo sigan los pasos y la información que les solicitan y listo, les recomiendo tengan Numero de DUI, correo electrónico y numero de teléfono ya que a ese numero se comunicaran con usted"," ","les recomendar escribirle por cualquiera red ya ser whatsapp o messenger yo el hacer y ya me enviar el estar de contar solo seguir el paso y el información que les solicitar y listar , les recomendar tener numerar de dui , correar electrónico y numerar de teléfono ya que a ese numerar se comunicar con tú"
"Hola yo  eintentado i medicen q no con cuerda el número de dui"," ","hola yo eintentado i medicen q no con cuerdo el número de dui"
"Yo kiciera saber mi estado de cuenta"," ","yo kiciera saber mi estar de contar"
"Hola buenos días necesito mi estado de cuenta porfa"," ","hola bueno día necesitar mi estar de contar porfa"
"Hola yo kiciera saber a los cuantos años me darán mi tienpo cotizado yo cotice 14 años y ya no trabaje porke murió mi padre y mi madre me podrían dar información gracias"," ","hola yo kiciera saber a el cuanto año me dar mi tienpo cotizar yo cotizar 14 año y ya no trabajar porke morir mi padre y mi madre me poder dar información gracia"
"Buenas necesito un estado de cuenta por favor."," ","bueno necesitar uno estar de contar por favor ."
"Quero saber de mi estado de cuenta"," ","quero saber de mi estar de contar"
"Yo quisiera mi estado d cuenta"," ","yo querer mi estar d contar"
"Hola buenos días quería ver si por fabor me pueden facilitar mi estado de cuenta"," ","hola bueno día querer ver si por fabor me poder facilitar mi estar de contar"
"Mi estado de cuenta"," ","mi estar de contar"
"AFP CONFIA ok"," ","afp confia ok"
"Como puedo hacer para actualizar mi número de identificación personal en la AF P, pues en el 98 tenía Cédula y no DUI."," ","comer poder hacer parar actualizar mi número de identificación personal en el af página , pues en el 98 tener cédula y no dui ."
"Quero mi an tipo"," ","quero mi an tipo"
"A donde puedo actualizar mi estado civil contestenme por favor"," ","a donde poder actualizar mi estar civil contestenme por favor"
"Buenos días por favor yo necesito mi estado de cuenta por favor"," ","bueno día por favor yo necesitar mi estar de contar por favor"
"Quiero aplicar a un anticipo por favor"," ","querer aplicar a uno anticipar por favor"
"buenos dias una consulta si una persona ya le dieron el adelanto de nuestros ahorros podrian dar el otro veinticinco por ciento gracias bendiciones"," ","bueno dias unir consultar si unir personar ya le dar el adelantar de nuestro ahorro podrian dar el otro veinticinco por ciento gracia bendición"
"AFP CONFIA muchas gracias bendiciones "," ","afp confia mucho gracia bendición"
"Una pregunta y puedo octar por un crédito"," ","unir preguntar y poder octar por uno crédito"
"yo estoy esperando mi debolucion de mis ahorros ya pasaron 7 meses desde q entregue la documentacion en regla y aun no me llaman para"," ","yo estar esperar mi debolucion de mi ahorro ya pasar 7 mes desde q entregar el documentacion en reglar y aun no me llamar parar"
"Buenos días quisiera saber si le descuentan a uno de la pensión mensual que le depositan a uno"," ","bueno día querer saber si le descontar a unir de el pensión mensual que le depositar a unir"
"Como puedo aser para que me den el 25 por siento de mis ahorros"," ","comer poder aser parar que me dar el 25 por sentar de mi ahorro"
"Hola será que pueden informar cuando van adepositar hoy el mes de marzo "," ","hola ser que poder informar cuando ir adepositar hoy el mes de marzo"
"Mepueden regalar ladireccionde lapajina mianticipo porfa"," ","mepueden regalar ladireccionde lapajina mianticipo porfa"
"Yo necesito mi anticipo"," ","yo necesitar mi anticipar"
"Si"," ","si"
"Muy bien Gracias "," ","muy bien gracia"
"Yo lo que nesecito es mi saldo de cuenta"," ","yo el que nesecito ser mi saldar de contar"
"Pregunto yo tengo pension vitalicia gracias al Decreto 100 quiero saber sí mi esposa cuando yo fallesca, le quedara la pension minima  o no,  pues ella quedara si amparo y esa es mi preocupacion. No me hablen del saldo porque ya no habra que pues de ella perdera todo o No."," ","preguntar yo tener pension vitalicio gracia al decretar 100 querer saber sí mi esposar cuando yo fallesca , le quedar el pension minima o no , pues él quedar si amparar y ese ser mi preocupacion . no me hablar del saldar porque ya no habra que pues de él perdera todo o no ."
"Buenas tardes yo necesito saber si como puedo hacer para hacer la cita para sacarme a fp pues porque ya está deteriorada"," ","bueno tardar yo necesitar saber si comer poder hacer parar hacer el citar parar sacarme a fp pues porque ya estar deteriorar"
"Yo ya llene los datos en esa hoja como saber como va mi tramite de anticipo de saldo"," ","yo ya llenar el dato en ese hoja comer saber comer ir mi tramitar de anticipar de saldar"
"Por favor necesito que me informen como va mi proceso llene el formulario del 25% hace 15 días y no tebgo respuesta por favor me urge"," ","por favor necesitar que me informar comer ir mi procesar llenar el formulario del 25 % hacer 15 día y no tebgo respuesta por favor me urgir"
"Excelente "," ","excelente"
"Yo necesito cambiar mis beneficiarios ya que había puesto a mi esposo e hijos y el ya falleció."," ","yo necesitar cambiar mi beneficiario ya que haber poner a mi esposar e hijo y el ya fallecer ."
"Mepueden regalar ladireccionde lapajina mianticipo porfa"," ","mepueden regalar ladireccionde lapajina mianticipo porfa"
"Yo necesito mi anticipo"," ","yo necesitar mi anticipar"
"Si"," ","si"
"Muy bien Gracias "," ","muy bien gracia"
"Yo lo que nesecito es mi saldo de cuenta"," ","yo el que nesecito ser mi saldar de contar"
"Pregunto yo tengo pension vitalicia gracias al Decreto 100 quiero saber sí mi esposa cuando yo fallesca, le quedara la pension minima  o no,  pues ella quedara si amparo y esa es mi preocupacion. No me hablen del saldo porque ya no habra que pues de ella perdera todo o No."," ","preguntar yo tener pension vitalicio gracia al decretar 100 querer saber sí mi esposar cuando yo fallesca , le quedar el pension minima o no , pues él quedar si amparar y ese ser mi preocupacion . no me hablar del saldar porque ya no habra que pues de él perdera todo o no ."
"Buenas tardes yo necesito saber si como puedo hacer para hacer la cita para sacarme a fp pues porque ya está deteriorada"," ","bueno tardar yo necesitar saber si comer poder hacer parar hacer el citar parar sacarme a fp pues porque ya estar deteriorar"
"Yo ya llene los datos en esa hoja como saber como va mi tramite de anticipo de saldo"," ","yo ya llenar el dato en ese hoja comer saber comer ir mi tramitar de anticipar de saldar"
"Por favor necesito que me informen como va mi proceso llene el formulario del 25% hace 15 días y no tebgo respuesta por favor me urge"," ","por favor necesitar que me informar comer ir mi procesar llenar el formulario del 25 % hacer 15 día y no tebgo respuesta por favor me urgir"
"Excelente "," ","excelente"
"Yo necesito cambiar mis beneficiarios ya que había puesto a mi esposo e hijos y el ya falleció."," ","yo necesitar cambiar mi beneficiario ya que haber poner a mi esposar e hijo y el ya fallecer ."
"Muy buenos dias , hace unas 4 dias gestione para que mandaran mi estado de cuenta y hasta la fecha nada"," ","muy bueno dias , hacer unir 4 dias gestionar parar que mandar mi estar de contar y hasta el fechar nadar"
"Tengo 20 días de un tramite.y aún no recibo respuesta"," ","tener 20 día de uno tramite.y aun no recibir respuesta"
"Ese es"," ","ese ser"
"AFP CONFIA excelente muchas gracias"," ","afp confia excelente mucho gracia"
"Yo el 10 envié doc. Que pidieron para anticipo y cuánto se tarda"," ","yo el 10 enviar doc . que pedir parar anticipar y cuánto se tardar"
"Merly De Rivas "," ","merly de rivas"
"Hola ya depositaron  lo de enero"," ","hola ya depositar el de enero"
"Y el complemento del aumento de pensión cuando lo van ha depositar"," ","y el complementar del aumentar de pensión cuando el ir haber depositar"
"Mauricio Aquino Ese aumento de pension solo es para que le daban $207.00 ahora les daran $ 304.00 ese aumento es para lo que tenian una baja"," ","mauricio aquino ese aumentar de pension solo ser parar que le dar $ 207.00 ahora les daran $ 304.00 ese aumentar ser parar el que tenian unir bajar"
"Juan Oscar Martinez yo sólo recibo 190 al mes don"," ","juan oscar martinez yo sólo recibir 190 al mes don"
"Buenas tardes tengo una consulta yo soy pensionado poe invalides y los primeros 3 años se me vencen en marzo 2021 y no me depositaron este mes aun???"," ","bueno tardar tener unir consultar yo ser pensionar poe invalidar y el 1 3 año se me vencer en marzo 2021 y no me depositar este mes aun ? ? ?"
" Hola buenas tardes yo necesito una cita porfavor me es urgente gracias"," ","hola bueno tardar yo necesitar unir citar porfavor me ser urgente gracia"
"Necesito conocer si se puede solicitar cita para una persona que saca el Dui el Ciete de febrero"," ","necesitar conocer si se poder solicitar citar parar unir personar que sacar el dui el ciete de febrero"
"Si se puede solicitar cita des de ya"," ","si se poder solicitar citar d de ya"
"Eleazar Portilo como se hace para solicitarla "," ","eleazar portilo comer se hacer parar solicitarla"
"Rosita Orellana "," ","rosita orellana"
"Carlos Alex Dominguez solo llama al 2267-7777 y ahí le contestaran puede pedir ayuda a alguien algún vecino "," ","carlos alex dominguez solo llamar al 2267-7777 y ahí le contestar poder pedir ayudar a alguien alguno vecino"
"O Busque en Facebook AFP ahí le aparece hay que esperar pero luego le contestan"," ","o buscar en facebook afp ahí le aparecer haber que esperar pero luego le contestar"
"Eleazar Portilo si lo puede hacer yo no trabajo alli pero si ellos ponen el calendario y usted escoge la fecha "," ","eleazar portilo si el poder hacer yo no trabajar alli pero si ellos poner el calendario y tú escoger el fechar"
"Ellos le dan la fecha"," ","ellos le dar el fechar"
" eso es muy sierto"," ","ese ser muy sierto"
"yo quiero registrarme en la cosa virtual pero dice que mis datos no coinciden. y pues yo no estoy en el país para gestionarlo de otra manera"," ","yo querer registrarme en el coser virtual pero decir que mi dato no coincidir . y pues yo no estar en el país parar gestionarlo de otro manera"
"AFP CONFIA gracias"," ","afp confia gracia"
"Como puedo hacer una cita para mi anticipo"," ","comer poder hacer unir citar parar mi anticipar"
"Yo solicite mi estado de cuenta y me dijeron que no aparece mi nombre y di todos los datos para que me lo mandarán a mi nuevo correo griseldareyesa629@gmail.com"," ","yo solicitar mi estar de contar y me decir que no aparecer mi nombrar y dar todo el dato parar que me el mandar a mi nuevo correar griseldareyesa629 @gmail . com"
"Como puedo saber mi saldo"," ","comer poder saber mi saldar"
"Acabo de solicitar mi estado de cuenta y me dicen q no aparesco en el sistema entonces en q quedamos"," ","acabar de solicitar mi estar de contar y me decir q no aparesco en el sistema entonces en q quedar"
"Vivo en México DF.Y solicito hacer una vídeo llamada para que me envíen mi NUP y estado de cuentas,por favor ayuda"," ","vivir en méxico df.y solicitar hacer unir vídeo llamar parar que me enviar mi nup y estar de contar , por favor ayudar"
"Yo cotisea confia quisiera que me hicieran el favor de ver mi estado de cuenta muchas gracias mi nombre es Rosa Matilde Amaya  mi correo es rosa matilde amaya @g mail _ con"," ","yo cotisea confia querer que me hacer el favor de ver mi estar de contar mucho gracia mi nombrar ser rosa matilde amaya mi correar ser rosa matilde amaya @g mail _ con"
"Podría visitar oy confia"," ","poder visitar oy confia"
"AFP CONFIA aaa grasias siq me consulta es que si puedo retirar el 25 por siento de mi ninero<U+0001F607><U+0001F607>"," ","afp confia aaa grasias siq me consultar ser que si poder retirar el 25 por sentar de mi ninero <U+0001F607> <U+0001F607>"
"Como puedo saber mi saldo"," ","comer poder saber mi saldar"
"AFP CONFIA torreslopezjuanjose7@gail.com"," ","afp confia torreslopezjuanjose7 @gail . com"
"Necesito saber que trámite hago para retirar lo cotizado en abril cumplo 55 años"," ","necesitar saber que trámite hacer parar retirar el cotizar en abril cumplir 55 año"
"AFP CONFIA Gracias"," ","afp confia gracia"
"Hola denme  Informacion  del retiro del 25% Por fabot"," ","hola denme informacion del retirar del 25 % por fabot"
"Buenas tardes disculpe la pregunta cómo puedo hacer para obtener una resolución constancia y estado de cuenta de mi pensión"," ","bueno tardar disculpar el preguntar cómo poder hacer parar obtener unir resolución constancia y estar de contar de mi pensión"
"yo e buscado ayuda en el sitio virtual y dice que mis dato no coinciden escribi al whatsapp y me dice lo mismo como hago para saber mi estado de cuent"," ","yo e buscar ayudar en el sitiar virtual y decir que mi datar no coincidir escribi al whatsapp y me decir el mismo comer hacer parar saber mi estar de cuent"
"AFP CONFIA yo no estoy n el salvador. como lo puedo hacer estando fuera del pais"," ","afp confia yo no estar n el salvador . comer el poder hacer estar ir del pais"
"AFP CONFIA gracias"," ","afp confia gracia"
"AFP CONFIA lo mismo dicen no encontramos datos con su dui"," ","afp confia el mismo decir no encontrar dato con su dui"
"Y si no tengo correo electrónico como puedo acer"," ","y si no tener correar electrónico comer poder acer"
"AFP CONFIA ok gracias"," ","afp confia ok gracia"
"Cómo puedo hacer cita previa"," ","cómo poder hacer citar previo"
"AFP CONFIA "," ","afp confia"
"Gracias. Bendiciones..."," ","gracia . bendición . . ."
"Puedo saber cuantos años he trabajado?"," ","poder saber cuanto año haber trabajar ?"
"Hola buenos días necesito un estado de cuenta "," ","hola bueno día necesitar uno estar de contar"
"Me pidieron instalar una aplicación para hacer videollamada podrían darme el nombre?"," ","me pedir instalar unir aplicación parar hacer videollamada poder darme el nombrar ?"
"Quisiera saber por qué no le an depositado  la pensión a mi mamá de este mes "," ","querer saber por qué no le an depositar el pensión a mi mamá de este mes"
"Hola buenas noches kiero aser una sita para estado de cuenta y reposision de tarjeta pero noce como aser me urje alguien. Me puede ayudar"," ","hola bueno noche kiero aser unir sito parar estar de contar y reposision de tarjeta pero noce comer aser me urje alguien . me poder ayudar"
"Buenas nochez mi esposo necesita su estado de cuenta y no le contestan como puede hacer para obtenerlo??"," ","bueno nochez mi esposar necesitar su estar de contar y no le contestar comer poder hacer parar obtenerlo ? ?"
"Hola buenos dias yo perdí  mi cita en inpep en la ventanilla única como puedo hacer  estoy en mi trámite de  mi vejez"," ","hola bueno dias yo perder mi citar en inpep en el ventanilla único comer poder hacer estar en mi trámite de mi vejez"
"Ok Muchas gracias"," ","ok mucho gracia"
"Yo necesito actualizar mi correo electrónico y estoy fuera del pais"," ","yo necesitar actualizar mi correar electrónico y estar ir del pais"
"Buenas noches y darán el aumento dela pensión mínima"," ","bueno noche y dar el aumentar dela pensión mínimo"
"Como puedo solicitar el formulario del anticipo"," ","comer poder solicitar el formulario del anticipar"
"Necesito saber los pasos para solicitarlo"," ","necesitar saber el paso parar solicitarlo"
"AFP CONFIA por favor necesito de mis aportaciones ya que padesco de lupos"," ","afp confia por favor necesitar de mi aportación ya que padesco de lupos"
"AFP CONFIA gracias muy amable"," ","afp confia gracia muy amable"
"Hola me urge una Constancia de pensión"," ","hola me urgir unir constancia de pensión"
"Grazie mille lo faccio oggi ok?"," ","grazie mille el faccio oggi ok ?"
"Ola "," ","ola"
"No es efectivo el servicio..Yo proporcione todos los datos que me piden y me Responden que No tengo Registro...y Cotize por 18 años..<U+0001F937>.."," ","no ser efectivo el servicio . . yo proporcionar todo el dato que me pedir y me responder que no tener registrar . . . y cotize por 18 año . . <U+0001F937> . ."
"AFP CONFIA Estaré pendiente de dar seguimiento a sus sugerencias.. Gracias"," ","afp confia estar pendiente de dar seguimiento a su sugerencia . . gracia"
