"text.X.U.FEFF.Comment","text.text_tokens","text.V3","emotion","polarity"
"Señores de AFP ustedes están jugando con uno el año pasado fui a que me dieran información sobre el 25 <U+0001F4AF> la respuesta que me dieron fue que a partir del 2021 todos los de 48 años en adelante ivamos a plicarar para ese 25 <U+0001F4AF> oy vienen con hotra política o mentiras si ese dinero es nuestro dinero no se les está pidiendo dinero de la bolsa de ustedes ni regalado ",NA,"señor de afp vosotros estar jugar con unir el año pasar ir a que me dar información sobrar el 25 <U+0001F4AF> el respuesta que me dar ir que a partir del 2021 todo el de 48 año en adelantar ivamos a plicarar parar ese 25 <U+0001F4AF> oy venir con hotra político o mentira si ese dinero ser nuestro dinero no se les estar pedir dinero de el bolsa de vosotros ni regalar","unknown","negative"
"Trabajan los sábados kiero saber",NA,"trabajar el sábado kiero saber","unknown","positive"
"Si uno adquiere este beneficio le afectara para la juvilacion?",NA,"si unir adquirir este beneficiar le afectar parar el juvilacion ?","joy","positive"
"Keny Garcia , si amiga , pues cuando le hagan los cálculos le descontarán el anticipo que le han otorgado , y en base al saldo que usted tenga lo van a dividir entre veinte años .Pero esto es solo para los que cumplen el tiempo que la ley dice para pensión , pero si su tiempo no reúne los requisitos lo que harán es darle devolución de sus ahorros, le pondré un ejemplo :Si usted tiene $20,000 dólares y pide un anticipo de $5,000 solo le entregarán $ 15, 000 dólares , esto es en caso de devolución.",NA,"keny garcia , si amigar , pues cuando le hacer el cálculo le descontar el anticipar que le haber otorgar , y en basar al saldar que tú tener el ir a dividir entrar veinte año . pero este ser solo parar el que cumplir el tiempo que el ley decir parar pensión , pero si su tiempo no reunir el requerir el que hacer ser darle devolución de su ahorro , le poner uno ejemplo : si tú tener $ 20,000 dólar y pedir uno anticipar de $ 5,000 solo le entregar $ 15 , 000 dólar , este ser en casar de devolución .","joy","negative"
"Oscar Roberto Romero Barrientos gracias por su informacion",NA,"oscar roberto romero barrientos gracia por su informacion","unknown","positive"
"Keny Garcia , de nada amiga, ",NA,"keny garcia , de nadar amigar ,","unknown","positive"
"Keny Garcia si porque baja el monto de tus ahorros, ya que la ley de este momento dice que no tienes que devolver el ahorro del 25 % que retires. ",NA,"keny garcia si porque bajar el montar de tu ahorro , ya que el ley de este momento decir que no tener que devolver el ahorrar del 25 % que retirar .","sadness","negative"
"Lupita Campos gracias y si yo tengo $23,000 a la hora dd juvilarme eso lo dividen entre 20?",NA,"lupita campo gracia y si yo tener $ 23,000 a el hora dd juvilarme ese el dividir entrar 20 ?","unknown","positive"
"Digo 20 años",NA,"decir 20 año","unknown","positive"
"AFP Crecer ok gracias",NA,"afp crecer ok gracia","unknown","positive"
"Hola merobaron la tarjeta y quiero saber como puedo recuperarla puedo solo ir por que ya yame y  no mecontestan solo me ponen una operadora",NA,"hola merobaron el tarjeta y querer saber comer poder recuperarla poder solo ir por que ya yame y no mecontestan solo me poner unir operador","unknown","negative"
"Atienden en oficinas sin previa cita??",NA,"atender en oficina sin previo citar ? ?","unknown","positive"
"Leticia Ramirez no",NA,"leticia ramirez no","unknown","negative"
"Hola se puede hacer presente en oficin",NA,"hola se poder hacer presentar en oficin","unknown","positive"
"Gracias haré la cita",NA,"gracia hacer el citar","unknown","positive"
"Gracias",NA,"gracia","unknown","positive"
"Atienden personalmente en oficinas ..sin que haya hecho cita???",NA,"atender personalmente en oficina . . sin que haber hacer citar ? ? ?","unknown","positive"
"Deberian de dar este beneficio aunq no tengan los dies años cotizados con ellos",NA,"deberian de dar este beneficiar aunq no tener el dies año cotizar con ellos","unknown","negative"
"Y alos que ya tienen pension por que no les pueden dar parte d los ahorros aunque sea para cancelar las deudas",NA,"y alos que ya tener pension por que no les poder dar partir d el ahorro aunque ser parar cancelar el deuda","unknown","negative"
"Criss Guerrero porque si ud eligió pensión ni modo, hasta que se le termine el saldo que tiene. ",NA,"criss guerrero porque si ud elegir pensión ni modo , hasta que se le terminar el saldar que tener .","unknown","negative"
"AFP Crecer graciass",NA,"afp crecer graciass","unknown","positive"
"Yo cumplo año en agosto 2021.sepodra solicitar",NA,"yo cumplir año en agostar 2021 . sepodra solicitar","joy","positive"
"Demauriciodejrsus Grande ya puede ir haciendo el trámite",NA,"demauriciodejrsus grande ya poder ir hacendar el trámite","unknown","positive"
"Deberás sepodra me faltan 7meses para los 50 cree que me atienden",NA,"deber sepodra me faltar 7meses parar el 50 crear que me atender","unknown","positive"
"Si ya",NA,"si ya","unknown","positive"
"Albita Torres  usted ya ISO ese tramite",NA,"albita torrar tú ya iso ese tramitar","unknown","positive"
"Albita Torres iay queir ala oficina contado los papeles",NA,"albita torrar iay queir ala oficina contar el papel","unknown","positive"
"Usted cuantos meses le faltaban para cumplir los años",NA,"tú cuanto mes le faltar parar cumplir el año","joy","positive"
"8 meses me faltan",NA,"8 mes me faltar","unknown","positive"
"Pero que le dijeron que se podía asi",NA,"pero que le decir que se poder asi","unknown","positive"
"Albita Torres pero asectaronasi",NA,"albita torrar pero asectaronasi","unknown","positive"
"Demauriciodejrsus Grande si",NA,"demauriciodejrsus grande si","unknown","positive"
"Demauriciodejrsus Grande mejor llame al club de pensionados y pregunte para asegurarse es 25349325 de lunes a viernes de 8.am hasta las 4.pm",NA,"demauriciodejrsus grande mejor llamar al club de pensionado y preguntar parar asegurarse ser 25349325 de lunes a viernes de 8 . am hasta el 4 . pm","unknown","positive"
"Grasias",NA,"grasias","unknown","positive"
"Iré aprobar.aber que tal",NA,"ir aprobar.aber que tal","unknown","positive"
"Grasias",NA,"grasias","unknown","positive"
"Si es que yo estoy con duda.si es necesario visitarlo.para poder actualizar datos.porque les marco por teléfono.ino contesta.i por coreo no puedo porque se me perdió el tele fono quiero actualizar el coreo.",NA,"si ser que yo estar con duda.si ser necesario visitarlo.para poder actualizar datos.porque les marcar por teléfono.ino contesta.i por corear no poder porque se me perder el tele fono querer actualizar el corear .","unknown","negative"
"Hola niña albita.fijese quería saber si se puede ir sin cita.alaajencia",NA,"hola niño albita.fijese querer saber si se poder ir sin cita.alaajencia","unknown","positive"
"Necesito que me envíen mi estado de cuentas",NA,"necesitar que me enviar mi estar de contar","unknown","positive"
"AFP Crecer gracias ",NA,"afp crecer gracia","unknown","positive"
"Yo cumpliré los 55 en julio ,quiero retirar todos mis ahorros",NA,"yo cumplir el 55 en julio , querer retirar todo mi ahorro","joy","positive"
"Marlis Mejía de Valladares , si no tiene los años que la ley dice para obtener la pensión , le darán todo su dinero amiga en eso no se preocupe .Le recomiendo que empiece a recojer información de su vida laboral para que cuando ellos la citen usted ya sabrá los requisitos para obtener su devolución o aplica para pensión.",NA,"marlis mejía de valladar , si no tener el año que el ley decir parar obtener el pensión , le dar todo su dinero amigar en ese no se preocupar . le recomendar que empezar a recojer información de su vida laboral parar que cuando ellos el citar tú ya saber el requerir parar obtener su devolución o aplicar parar pensión .","surprise","negative"
"Marlis Mejía de Valladares sí niña empiece ya porque yo él otro mes cumplo un año de haber comenzado el tramite y aún no tengo nada me a costado obtener cita así que le recomiendo que empiece ya bendiciones y ojalá tenga respuesta ",NA,"marlis mejía de valladar sí niño empezar ya porque yo él otro mes cumplir uno año de haber comenzar el tramitar y aun no tener nadar me a costar obtener citar asir que le recomendar que empezar ya bendición y ojalá tener respuesta","joy","negative"
"Evelyn Barahona",NA,"evelyn barahona","unknown","positive"
"hilos pensionados aplican para este beneficio",NA,"hilo pensionado aplicar parar este beneficiar","unknown","positive"
"Lo deberían de dar yosolo solo cotize 4 años y como tengo ya 37 nomedan trabajo en empresa por la edad",NA,"el deber de dar yosolo solo cotize 4 año y comer tener ya 37 nomedan trabajar en empresa por el edad","unknown","positive"
"Maria Batres mija estas bien joven aún. Y si hay trabajo para esa edad. ",NA,"maria batres mija este bien joven aun . y si haber trabajar parar ese edad .","joy","positive"
"Lupita Campos rebuscado  y Nome sale nada",NA,"lupita campo rebuscar y nome salar nadar","unknown","positive"
"Quiero saber si a los estamos sin trabajo podemos aplicar al anticipo",NA,"querer saber si a el estar sin trabajar podar aplicar al anticipar","unknown","positive"
"Ssaul Serrano hola amigo si tienes la edad y los años que piden de cotización si aplicas ",NA,"ssaul serrano hola amigar si tener el edad y el año que pedir de cotización si aplicar","unknown","positive"
"Que trámite puedo hacer",NA,"que trámite poder hacer","unknown","positive"
"Yo cumplo los 55 este año puedo empezar a hacer los trámites para que me devuelvan mis ahorros??",NA,"yo cumplir el 55 este año poder empezar a hacer el trámite parar que me devolver mi ahorro ? ?","joy","positive"
"Cuando van a depositar lo de enero?",NA,"cuando ir a depositar el de enero ?","unknown","positive"
"ME PUEDEN EXPLICAR AMIGOS Q SABEN SI YO Q SOLO COTICE 8 AÑOS AL TENER LOS 60 MEDARAN PENSIÓN ONO POR ES MI TRABAJO Q TENGO AHI Y NECESITÓ ",NA,"me poder explicar amigo q saber si yo q solo cotizar 8 año al tener el 60 medaran pensión ono por ser mi trabajar q tener ahi y necesitar","joy","positive"
"Francisco Henriquez  si por la edad le dan lo cotizado no es pension pero si le devuelven haga el tramite",NA,"francisco henriquez si por el edad le dar el cotizar no ser pension pero si le devolver hacer el tramitar","unknown","negative"
"Francisco Henriquez  hola no te dan pension sino que te devuelven tu dinero amigo ya que para jubilarte son mas años de trabajo",NA,"francisco henriquez hola no te dar pension sino que te devolver tu dinero amigar ya que parar jubilarte ser mas año de trabajar","unknown","negative"
"Y medarian todo por q tengo como 5000 $",NA,"y medarian todo por q tener comer 5000 $","unknown","positive"
"Y puedo en pesar el trasmite ya ",NA,"y poder en pesar el trasmitir ya","unknown","positive"
"Si puede amigo",NA,"si poder amigar","unknown","positive"
"Francisco Henriquez  si ya tiene 60 años puede hacer ese tramite ya, no le van a dar  pensión pero si le daran ese ahorro. Ese dinero es suyo. Suerte!¡",NA,"francisco henriquez si ya tener 60 año poder hacer ese tramitar ya , no le ir a dar pensión pero si le daran ese ahorrar . ese dinero ser suyo . suerte ! ¡","unknown","negative"
"Francisco Henriquez si tiene los 60 años puede iniciar el trámite le le darán todo el dinero de un sólo o por depósito dependiendo la cantidad",NA,"francisco henriquez si tener el 60 año poder iniciar el trámite le le dar todo el dinero de uno sólo o por depósito depender el cantidad","unknown","positive"
"GRACIAS LES AGRADESCO MUCHO ",NA,"gracia les agradesco mucho","unknown","positive"
"Francisco Henriquez su pensión no se la darán porque tendría que haber cotizado 30 años!!! Pero si le regresaron lo que ahorró esos ocho años de una ves",NA,"francisco henriquez su pensión no se el dar porque tener que haber cotizar 30 año ! ! ! pero si le regresar el que ahorrar ese ocho año de unir ve","unknown","negative"
"Gracias ",NA,"gracia","unknown","positive"
"Francisco Henriquez sólo tiene derecho a devolución",NA,"francisco henriquez sólo tener derecho a devolución","unknown","positive"
"Rutilio Torres eso me interesa grasias por la información ",NA,"rutilio torrar ese me interesar grasias por el información","joy","positive"
"Francisco Henriquez cuando tengas 60 te devolverán tus ahorros porque no llegaras al monto y el tiempo requerido por tu edad. Asi que te tendrían que devolver tus ahorros.Al menos que la ley cambie y hayan reestructuraciones del gobierno del momento.Te tendrían que regresar tus ahorros mas tu rentabilidad por años, más lo cotizado dn su momento al fondo social mas tu certificado de traspaso si cotizaste en el isss en su momento o en el Inpep. Has tu trámite y allí tienen que indicarte o pregunta a la hora de retirarte, suerte amigo",NA,"francisco henriquez cuando tener 60 te devolver tu ahorro porque no llegar al montar y el tiempo requerir por tu edad . asi que te tener que devolver tu ahorros.al menos que el ley cambiar y haber reestructuración del gobernar del momento.te tener que regresar tu ahorro mas tu rentabilidad por año , más el cotizar dn su momento al fondo social mas tu certificar de traspasar si cotizar en el isss en su momento o en el inpep . haber tu trámite y allí tener que indicarte o preguntar a el hora de retirarte , suerte amigar","unknown","negative"
"Lupita Campos gracia  por su ayuda por q ahorita tengo 45 años y yano me quieren en los trabajos ",NA,"lupita campo gracia por su ayudar por q ahorita tener 45 año y yano me querer en el trabajo","unknown","positive"
"Francisco Henriquez jajajaja estamos igual, pero estas joven aun ya quisiera tener 45. Ánimos ",NA,"francisco henriquez jajajaja estar igual , pero este joven aun ya querer tener 45 . ánimo","unknown","positive"
"Y usted cuantos años tiene ",NA,"y tú cuanto año tener","unknown","positive"
"Francisco Henriquez  le toca de volucion",NA,"francisco henriquez le tocar de volucion","unknown","positive"
"Y ESOS 25 años cotizados  para q ",NA,"y ese 25 año cotizar parar q","unknown","positive"
"Osea q con los 8 años q tengo cotizados solo medaran mi debulucion sin otros beneficios a los 60 años ",NA,"osea q con el 8 año q tener cotizar solo medaran mi debulucion sin otro beneficio a el 60 año","unknown","positive"
"Gracias ",NA,"gracia","unknown","positive"
"Y SI LESMANDO EL NUMERO DEL NUT ME PUEDEN MANDAR EL ESTADO DE CUENTAS ",NA,"y si lesmando el numerar del nut me poder mandar el estar de contar","unknown","positive"
"Hola yo tengo 29 años de trabajo me podrían ya todo mi ahorro",NA,"hola yo tener 29 año de trabajar me poder ya todo mi ahorrar","unknown","positive"
"AFP Crecer yo me comunico con ustedes muchas gracias ",NA,"afp crecer yo me comunicar con vosotros mucho gracia","unknown","positive"
"Para todos debería de ser eso todos necesitamos",NA,"parar todo deber de ser ese todo necesitar","unknown","positive"
"Independientemente de los años cotizados el dinero tendría que estar disponible para las personas pues muchos no han trabajado 10 años y es un dinero que les corresponde",NA,"independientemente de el año cotizar el dinero tener que estar disponible parar el persona pues mucho no haber trabajar 10 año y ser uno dinero que les corresponder","unknown","negative"
"Fatima Molina exacto pienso lo mismo $2000 que fueran le pertenecen a quien los trabajo y no al estado y mucho menos ala afp ",NA,"fatima molina exacto pensar el mismo $ 2000 que ir le pertenecer a quien el trabajar y no al estar y mucho menos ala afp","unknown","negative"
"Pero también expliquen que cuando quieran pensionarse van a tener que pagar el total más la rentabilidad que dejó de persibir o sea un platal, o sino que se espere los años equivalentes para poderse pensionar.",NA,"pero también explicar que cuando querer pensionarse ir a tener que pagar el total más el rentabilidad que dejar de persibir o ser uno platal , o sino que se esperar el año equivalente parar poderse pensionar .","joy","positive"
"Oscar G. Moreno ya no, con la reforma que hubo el año pasado. ",NA,"oscar gramo . moreno ya no , con el reformar que haber el año pasar .","unknown","negative"
"Fatima Molina deberás en parte de la ley está eso??? Porque a una conocida mira le dijeron que tenía que pagar para poder pensionarse.",NA,"fatima molina deber en partir de el ley estar ese ? ? ? porque a unir conocer mirar le decir que tener que pagar parar poder pensionarse .","unknown","positive"
"Oscar G. Moreno ya no, simplemente se lo van a descontar pero no tiene que pagarlo de regreso. ",NA,"oscar gramo . moreno ya no , simplemente se el ir a descontar pero no tener que pagarlo de regresar .","unknown","negative"
"Oscar G. Moreno ",NA,"oscar gramo . moreno","unknown","positive"
"Deberían de quitar esa ley de edad xq nesecitados nuestro dinero ,más los que no tenemos un empleo,que para qué lo tenemos guardado si no estamos cotizando <U+0001F612><U+0001F612><U+0001F612>",NA,"deber de quitar ese ley de edad xq nesecitados nuestro dinero , más el que no tener uno emplear , que parar qué el tener guardar si no estar cotizar <U+0001F612> <U+0001F612> <U+0001F612>","unknown","negative"
"Iris Cecil Beza ",NA,"iris cecil beza","unknown","positive"
"Buenas tardes y  las AFP están asiendo este beneficio de anticipo.osea confía también?",NA,"bueno tardar y el afp estar asir este beneficiar de anticipo.osea confiar también ?","unknown","positive"
"Kathy Diaz ",NA,"kathy diaz","unknown","positive"
"Kathy Diaz Las 2 tienen que darte el anticipo si lo deseas y si cumples con los dichosos requisitos, es un decreto de ley. ",NA,"kathy diaz el 2 tener que darte el anticipar si el desear y si cumplir con el dichoso requerir , ser uno decretar de ley .","joy","positive"
"Y sera que  a partir d este mes d enero comensara el aumento d la pension ya vendra d 304",NA,"y sera que a partir d este mes d enero comensara el aumentar d el pension ya vendra d 304","unknown","positive"
"Graciasss",NA,"graciasss","unknown","positive"
"Como poder acceder a una cita por favor",NA,"comer poder acceder a unir citar por favor","joy","positive"
"Adónde puedo ingresar para saber más información?? Gracias",NA,"adónde poder ingresar parar saber más información ? ? gracia","unknown","positive"
"AFP Crecer Muchas Gracias",NA,"afp crecer mucho gracia","unknown","positive"
"Sólo esos dos bancos estan autorizados   ",NA,"sólo ese do banco estan autorizar","unknown","positive"
"Tengo 47 años quiero saber si aplico",NA,"tener 47 año querer saber si aplicar","unknown","positive"
"Hasta lo que hemos llegado nos ponen edad y tiempo de cotización para poder gozar de nuestro dinero están mal señores el dinero es nuestro no de ustedes no sean inconscientes a mi ver que las AFP deberían de desaparecer se adueñan de nuestro dinero",NA,"hasta el que haber llegar no poner edad y tiempo de cotización parar poder gozar de nuestro dinero estar mal señor el dinero ser nuestro no de vosotros no ser inconsciente a mi ver que el afp deber de desaparecer se adueñar de nuestro dinero","anger","negative"
"Carlos Rivera Diaz   la edad y tiempo de servicio no la pone la AFP  es por ley!!!  Yo así pensaba antes pero no es así  la asamblea legislativa lo decide!!!",NA,"carlos rivera diaz el edad y tiempo de servicio no el poner el afp ser por ley ! ! ! yo asir pensar antes pero no ser asir el asamblea legislativo el decidir ! ! !","unknown","negative"
"Querer hacer el trámite en linea le ponen las mil trabasTengo dias de estar intentando y nada",NA,"querer hacer el trámite en linear le poner el mil trabastengo dias de estar intentar y nadar","unknown","positive"
"No me parece q pongan esos años cotizados algunas personas solo han trabajado 2 a 5 años y han puesto su negocio y no se los dan aunque tengan el rango de edad",NA,"no me parecer q poner ese año cotizar alguno persona solo haber trabajar 2 a 5 año y haber poner su negociar y no se el dar aunque tener el rango de edad","unknown","negative"
"Eugenia Alvarado así es yo trabaje 6 años ahora tengo un pequeño negocio y ese dinero me serviría mucho más con lo del covid no creo que llegue a los 60",NA,"eugenia alvarado asir ser yo trabajar 6 año ahora tener uno pequeño negociar y ese dinero me servir mucho más con el del covid no crear que llegar a el 60","unknown","negative"
"Y aplican las personas aunque no estén trabajando en empresas",NA,"y aplicar el persona aunque no estar trabajar en empresa","unknown","negative"
"Ok muchas gracias",NA,"ok mucho gracia","unknown","positive"
"Que alguien me diga, si uno ya no quisiera tener el dinero en esa afp deberían de devolverlo independientemente lo ocupe o lo pase a otra afp el dinero es de uno si o si",NA,"que alguien me decir , si unir ya no querer tener el dinero en ese afp deber de devolverlo independientemente el ocupar o el pasar a otro afp el dinero ser de unir si o si","joy","negative"
"Como puedo a ser para que me den mi anticipo ya paso 5o y acotisado 98",NA,"comer poder a ser parar que me dar mi anticipar ya pasar 5o y acotisado 98","unknown","positive"
"Para que ponen eso si a la hora de que uno les pide ese anticipo estan poniendo trabas , que 10 años trabajdos y es el dinero de uno no habria por que le pongan requisitos",NA,"parar que poner ese si a el hora de que unir les pedir ese anticipar estan poner traba , que 10 año trabajdos y ser el dinero de unir no habria por que le poner requerir","unknown","negative"
"Candita Gomez Tienes toda la razón yo fui y en su momento me dijeron que me faltaba un mes y luego cuando regrese me . Dijeron que eran muchos meses los que faltaban y dejé de trabajar menos aún me lo darán. De verdad que no tendrían que ponernos requisitos si es nuestro ahorro.",NA,"candita gomez tener todo el razón yo ir y en su momento me decir que me faltar uno mes y luego cuando regresar me . decir que erar mucho mes el que faltar y dejar de trabajar menos aun me el dar . de verdad que no tener que ponernos requerir si ser nuestro ahorrar .","joy","negative"
"Candita Gomez eso es cierto como que lismona pide uno si es nuestro dinero ",NA,"candita gomez ese ser cierto comer que lismona pedir unir si ser nuestro dinero","unknown","positive"
"AFP Crecer Bueno yo he querido poder retirar mi 25% y no se si puedo hacerlo porque la vez que fui md. Dijeron me. Faltaban dias  que hacían 1 mes para poder aplicar deje que pasaran como 3 meses luego me. Acerque de. Nuevo y ya no eran dias sino que me. Faltaban meses. No entiendo quiero comunicarme al wsp y no contestan mande mi. Correo y e igual por gusto, y solo me atienden por cita y en mi trabajo actual no me dan permiso y asi como esta la situación no se puede faltar al trabajo. Deberían de ver de que forma nos ayudan con un tel o un wsp, pero respondan porque si no de nada sirve",NA,"afp crecer bueno yo haber querer poder retirar mi 25 % y no se si poder hacerlo porque el vez que ir md . decir me . faltar dias que hacer 1 mes parar poder aplicar dejar que pasar comer 3 mes luego me . acercar de . nuevo y ya no erar dias sino que me . faltar mes . no entender querer comunicarme al wsp y no contestar mandar mi . correar y e igual por gustar , y solo me atender por citar y en mi trabajar actual no me dar permiso y asi comer este el situación no se poder faltar al trabajar . deber de ver de que formar no ayudar con uno tel o uno wsp , pero responder porque si no de nadar servir","unknown","negative"
"Carla Lizama de Rodríguez ",NA,"carla lizama de rodríguez","unknown","positive"
"Documentos a presentar para cumplir los requisitos",NA,"documento a presentar parar cumplir el requerir","joy","positive"
"AFP Crecer hola Vuenas tardes quiero saver si me pueden desir cuanto tiempo tengo cotisaso.ya que hoy ahi que Aser cita en linea para ese proceso y veo que esta malo eso que an echo .es complicado para nosotros que travajamos .",NA,"afp crecer hola vuenas tardar querer saver si me poder desir cuanto tiempo tener cotisaso.ya que hoy ahi que aser citar en linear parar ese procesar y ver que este malo ese que an echar . ser complicar parar nosotros que travajamos .","sadness","positive"
"AFP Crecer Ummm ok",NA,"afp crecer ummm ok","unknown","positive"
"Y los que tienen menos de 10 por que no le entregan toda su plata que an cotizado ",NA,"y el que tener menos de 10 por que no le entregar todo su plata que an cotizar","unknown","negative"
"Le deberían de bajar ala edad<U+0001F92D><U+0001F602>",NA,"le deber de bajar ala edad <U+0001F92D> <U+0001F602>","sadness","positive"
"Katherin Lemus ya casi llegan a los 44 q tenes <U+0001F92D>",NA,"katherin lemus ya casi llegar a el 44 q tenes <U+0001F92D>","unknown","positive"
"Jose Gutiérrez q galan fuera asi ya cobrara mis ahorros <U+0001F60F>",NA,"jose gutiérrez q galan ir asi ya cobrar mi ahorro <U+0001F60F>","unknown","positive"
"Si yo cotise solo ciete años me lo devolverán también",NA,"si yo cotise solo ciete año me el devolver también","unknown","positive"
"Y los que cotizamos cuatro años y ya no nos dieron la oportunidad de laborar me podían brindar más información",NA,"y el que cotizar cuatro año y ya no no dar el oportunidad de laborar me poder brindar más información","unknown","negative"
"Fijese qué mí hermano tiene 23 años y medio de ahorrar y el yano trabaja lodespidieron por qué el tiene una operación y alado de la operación lesalio una pelota qué lemolesta para trabajar y el estuvo trabajando cuando estuvo ésto de la cuarentena y después porque el noquiso ir a otro lugar lejos y el lesdijo que noporque el noconosia ledijeron que esraba despedido y ahora el sededica a vender bolsas para basura lespedimos señores del AFP crecer qué nopongan años para darles sus ahorros a las personas que necesitan sus ahorros",NA,"fijese qué mí hermanar tener 23 año y mediar de ahorrar y el yano trabajar lodespidieron por qué el tener unir operación y alado de el operación lesalio unir pelota qué lemolesta parar trabajar y el estar trabajar cuando estar ésto de el cuarentena y después porque el noquiso ir a otro lugar lejos y el lesdijo que noporque el noconosia ledijeron que esraba despedir y ahora el sededica a vender bolsa parar basura lespedimos señor del afp crecer qué nopongan año parar darles su ahorro a el persona que necesitar su ahorro","unknown","positive"
"Sipero el gobierno y ustedes tienen qué ver qué el dinero que tienen es delas personas que están ahorrando y qué tarde o temprano eyos necesitan aser uso de ese dinero más cuándo están enfermos o si notienen para comprar algo qué es urjente ni ustedes ni el gobierno tienen derecho sobre ese dinero si uno lo único que quiere es que entreguen el dinero que uno tiene ahorrado",NA,"sipero el gobernar y vosotros tener qué ver qué el dinero que tener ser delas persona que estar ahorrar y qué tardar o temprano eyos necesitar aser usar de ese dinero más cuándo estar enfermo o si notienen parar comprar algo qué ser urjente ni vosotros ni el gobernar tener derecho sobrar ese dinero si unir el único que querer ser que entregar el dinero que unir tener ahorrar","unknown","negative"
"Gracias por su apoyo qué Dios los bendiga",NA,"gracia por su apoyar qué dios el bendecir","unknown","positive"
"Número de teléfono al cual preguntar si ya está listo el cheque de anticipo de saldo",NA,"número de teléfono al cual preguntar si ya estar listar el cheque de anticipar de saldar","unknown","positive"
"Ahora ya cambiaron era de mujeres de 41 años",NA,"ahora ya cambiar erar de mujer de 41 año","unknown","positive"
"AFP Crecer Cambiaron porque no estaba asi ase unos 4 meses",NA,"afp crecer cambiar porque no estar asi asar uno 4 mes","unknown","negative"
"Despues de presntar la soicitud de anticipo cuanto tiempo se tarda el deposito AFP Crecer",NA,"despues de presntar el soicitud de anticipar cuanto tiempo se tardar el depositar afp crecer","unknown","positive"
"Yo necesito saber si aplico al beneficio del anticipo",NA,"yo necesitar saber si aplicar al beneficiar del anticipar","unknown","positive"
"AFP Crecer yo los cumplo en mayo los 50 puedo solicitarlos ya",NA,"afp crecer yo el cumplir en mayar el 50 poder solicitarlos ya","joy","positive"
"Benas tardes yo ya mande toda la documentacion de antocipo de saldo cuanto tiempo tengo q esperar pra una respuesta",NA,"benas tardar yo ya mandar todo el documentacion de antocipo de saldar cuanto tiempo tener q esperar pra unir respuesta","joy","positive"
"AFP Crecer pero para saber si ya esta aprobada como se hace",NA,"afp crecer pero parar saber si ya este aprobar comer se hacer","joy","positive"
"AFP Crecer gracias",NA,"afp crecer gracia","unknown","positive"
"Buenas tardes.quiero saber si ya depositaron mi devolución de ahorros",NA,"bueno tardes.quiero saber si ya depositar mi devolución de ahorro","unknown","positive"
"Y los que vivimos fuera del pais ?como podemos proceder?",NA,"y el que vivir ir del pais ? comer podar proceder ?","unknown","positive"
"AFP Crecer que requisitos son los q hay llenar para obtener la devolución .. o si me pueden dar un correo electrónico para comunicarme con uds ?",NA,"afp crecer que requerir ser el q haber llenar parar obtener el devolución . . o si me poder dar uno correar electrónico parar comunicarme con uds ?","surprise","positive"
"Si se tuviera 29 años laborados más una edad de 49 años se podrá acceder a ese  anticipo. <U+2753><U+2753><U+2753><U+2753><U+2753>",NA,"si se tener 29 año laborar más unir edad de 49 año se poder acceder a ese anticipar . <U+2753> <U+2753> <U+2753> <U+2753> <U+2753>","unknown","positive"
"Que documentos se necesitan para sacar el adelanto",NA,"que documento se necesitar parar sacar el adelantar","unknown","positive"
"AFP Crecer gracias ",NA,"afp crecer gracia","unknown","positive"
"Hola buenas tardes esos 10 años tienen que ser continuos o puede ser 5 años en un trabajo y otros 5 años en otro trabajo .me entiende",NA,"hola bueno tardar ese 10 año tener que ser continuo o poder ser 5 año en uno trabajar y otro 5 año en otro trabajar . me entender","unknown","positive"
"AFP Crecer gracias",NA,"afp crecer gracia","unknown","positive"
"Necesito confirmar cita para este viernes. Donde puedo consultar.",NA,"necesitar confirmar citar parar este viernes . donde poder consultar .","unknown","positive"
"Yo quiero hacer una cita para el 25% como puedo  hacer",NA,"yo querer hacer unir citar parar el 25 % comer poder hacer","unknown","positive"
"Pero k días se puede ir a sacar la cita",NA,"pero k día se poder ir a sacar el citar","unknown","positive"
"Gracias muy mable",NA,"gracia muy mable","fear","positive"
"AFP Crecer quisiera me manden la tarjeta! O alguna dirección para poderla descargar en pdf?Saludos.",NA,"afp crecer querer me mandar el tarjeta ! o alguno dirección parar poderla descargar en pdf ? saludo .","unknown","positive"
"Me puede mandar mi estamo de cuenta.yo Jose Gomez granado",NA,"me poder mandar mi estamo de cuenta.yo jose gomez granar","unknown","positive"
"No es eso connelncambio de ley",NA,"no ser ese connelncambio de ley","unknown","negative"
"Para retiro de anticipo como puedo hacer?",NA,"parar retirar de anticipar comer poder hacer ?","unknown","positive"
"Tengo 48 aplico  a las prestaciones",NA,"tener 48 aplicar a el prestación","unknown","positive"
"He querido crear mi usuario y no me lo  permite porque el correo electrónico que uso no está registrado quisiera saber cómo puedo actualizar ese dato para poder crear mi usuario y así solicitar mi anticipo de saldo ",NA,"haber querer crear mi usuario y no me el permitir porque el correar electrónico que usar no estar registrar querer saber cómo poder actualizar ese datar parar poder crear mi usuario y asir solicitar mi anticipar de saldar","unknown","negative"
