"X.U.FEFF.Comment","text_tokens","V3"
"Gracias"," ","gracia"
"Atienden personalmente en oficinas ..sin que haya hecho cita???"," ","atender personalmente en oficina . . sin que haber hacer citar ? ? ?"
"Deberian de dar este beneficio aunq no tengan los dies años cotizados con ellos"," ","deberian de dar este beneficiar aunq no tener el dies año cotizar con ellos"
"Y alos que ya tienen pension por que no les pueden dar parte d los ahorros aunque sea para cancelar las deudas"," ","y alos que ya tener pension por que no les poder dar partir d el ahorro aunque ser parar cancelar el deuda"
"Criss Guerrero porque si ud eligió pensión ni modo, hasta que se le termine el saldo que tiene. "," ","criss guerrero porque si ud elegir pensión ni modo , hasta que se le terminar el saldar que tener ."
"AFP Crecer graciass"," ","afp crecer graciass"
"Yo cumplo año en agosto 2021.sepodra solicitar"," ","yo cumplir año en agostar 2021 . sepodra solicitar"
"Demauriciodejrsus Grande ya puede ir haciendo el trámite"," ","demauriciodejrsus grande ya poder ir hacendar el trámite"
"Deberás sepodra me faltan 7meses para los 50 cree que me atienden"," ","deber sepodra me faltar 7meses parar el 50 crear que me atender"
"Si ya"," ","si ya"
"Albita Torres  usted ya ISO ese tramite"," ","albita torrar tú ya iso ese tramitar"
"Albita Torres iay queir ala oficina contado los papeles"," ","albita torrar iay queir ala oficina contar el papel"
"Usted cuantos meses le faltaban para cumplir los años"," ","tú cuanto mes le faltar parar cumplir el año"
"8 meses me faltan"," ","8 mes me faltar"
"Pero que le dijeron que se podía asi"," ","pero que le decir que se poder asi"
"Albita Torres pero asectaronasi"," ","albita torrar pero asectaronasi"
"Demauriciodejrsus Grande si"," ","demauriciodejrsus grande si"
"Demauriciodejrsus Grande mejor llame al club de pensionados y pregunte para asegurarse es 25349325 de lunes a viernes de 8.am hasta las 4.pm"," ","demauriciodejrsus grande mejor llamar al club de pensionado y preguntar parar asegurarse ser 25349325 de lunes a viernes de 8 . am hasta el 4 . pm"
"Grasias"," ","grasias"
"Iré aprobar.aber que tal"," ","ir aprobar.aber que tal"
"Grasias"," ","grasias"
"Si es que yo estoy con duda.si es necesario visitarlo.para poder actualizar datos.porque les marco por teléfono.ino contesta.i por coreo no puedo porque se me perdió el tele fono quiero actualizar el coreo."," ","si ser que yo estar con duda.si ser necesario visitarlo.para poder actualizar datos.porque les marcar por teléfono.ino contesta.i por corear no poder porque se me perder el tele fono querer actualizar el corear ."
"Hola niña albita.fijese quería saber si se puede ir sin cita.alaajencia"," ","hola niño albita.fijese querer saber si se poder ir sin cita.alaajencia"
"Necesito que me envíen mi estado de cuentas"," ","necesitar que me enviar mi estar de contar"
"AFP Crecer gracias "," ","afp crecer gracia"
"Yo cumpliré los 55 en julio ,quiero retirar todos mis ahorros"," ","yo cumplir el 55 en julio , querer retirar todo mi ahorro"
"Marlis Mejía de Valladares , si no tiene los años que la ley dice para obtener la pensión , le darán todo su dinero amiga en eso no se preocupe .Le recomiendo que empiece a recojer información de su vida laboral para que cuando ellos la citen usted ya sabrá los requisitos para obtener su devolución o aplica para pensión."," ","marlis mejía de valladar , si no tener el año que el ley decir parar obtener el pensión , le dar todo su dinero amigar en ese no se preocupar . le recomendar que empezar a recojer información de su vida laboral parar que cuando ellos el citar tú ya saber el requerir parar obtener su devolución o aplicar parar pensión ."
"Marlis Mejía de Valladares sí niña empiece ya porque yo él otro mes cumplo un año de haber comenzado el tramite y aún no tengo nada me a costado obtener cita así que le recomiendo que empiece ya bendiciones y ojalá tenga respuesta "," ","marlis mejía de valladar sí niño empezar ya porque yo él otro mes cumplir uno año de haber comenzar el tramitar y aun no tener nadar me a costar obtener citar asir que le recomendar que empezar ya bendición y ojalá tener respuesta"
"Evelyn Barahona"," ","evelyn barahona"
"hilos pensionados aplican para este beneficio"," ","hilo pensionado aplicar parar este beneficiar"
"Lo deberían de dar yosolo solo cotize 4 años y como tengo ya 37 nomedan trabajo en empresa por la edad"," ","el deber de dar yosolo solo cotize 4 año y comer tener ya 37 nomedan trabajar en empresa por el edad"
"Maria Batres mija estas bien joven aún. Y si hay trabajo para esa edad. "," ","maria batres mija este bien joven aun . y si haber trabajar parar ese edad ."
"Lupita Campos rebuscado  y Nome sale nada"," ","lupita campo rebuscar y nome salar nadar"
"Quiero saber si a los estamos sin trabajo podemos aplicar al anticipo"," ","querer saber si a el estar sin trabajar podar aplicar al anticipar"
"Ssaul Serrano hola amigo si tienes la edad y los años que piden de cotización si aplicas "," ","ssaul serrano hola amigar si tener el edad y el año que pedir de cotización si aplicar"
"Que trámite puedo hacer"," ","que trámite poder hacer"
"Yo cumplo los 55 este año puedo empezar a hacer los trámites para que me devuelvan mis ahorros??"," ","yo cumplir el 55 este año poder empezar a hacer el trámite parar que me devolver mi ahorro ? ?"
"Cuando van a depositar lo de enero?"," ","cuando ir a depositar el de enero ?"
"ME PUEDEN EXPLICAR AMIGOS Q SABEN SI YO Q SOLO COTICE 8 AÑOS AL TENER LOS 60 MEDARAN PENSIÓN ONO POR ES MI TRABAJO Q TENGO AHI Y NECESITÓ "," ","me poder explicar amigo q saber si yo q solo cotizar 8 año al tener el 60 medaran pensión ono por ser mi trabajar q tener ahi y necesitar"
"Francisco Henriquez  si por la edad le dan lo cotizado no es pension pero si le devuelven haga el tramite"," ","francisco henriquez si por el edad le dar el cotizar no ser pension pero si le devolver hacer el tramitar"
"Francisco Henriquez  hola no te dan pension sino que te devuelven tu dinero amigo ya que para jubilarte son mas años de trabajo"," ","francisco henriquez hola no te dar pension sino que te devolver tu dinero amigar ya que parar jubilarte ser mas año de trabajar"
"Y medarian todo por q tengo como 5000 $"," ","y medarian todo por q tener comer 5000 $"
"Y puedo en pesar el trasmite ya "," ","y poder en pesar el trasmitir ya"
"Si puede amigo"," ","si poder amigar"
"Francisco Henriquez  si ya tiene 60 años puede hacer ese tramite ya, no le van a dar  pensión pero si le daran ese ahorro. Ese dinero es suyo. Suerte!¡"," ","francisco henriquez si ya tener 60 año poder hacer ese tramitar ya , no le ir a dar pensión pero si le daran ese ahorrar . ese dinero ser suyo . suerte ! ¡"
"Francisco Henriquez si tiene los 60 años puede iniciar el trámite le le darán todo el dinero de un sólo o por depósito dependiendo la cantidad"," ","francisco henriquez si tener el 60 año poder iniciar el trámite le le dar todo el dinero de uno sólo o por depósito depender el cantidad"
"GRACIAS LES AGRADESCO MUCHO "," ","gracia les agradesco mucho"
"Francisco Henriquez su pensión no se la darán porque tendría que haber cotizado 30 años!!! Pero si le regresaron lo que ahorró esos ocho años de una ves"," ","francisco henriquez su pensión no se el dar porque tener que haber cotizar 30 año ! ! ! pero si le regresar el que ahorrar ese ocho año de unir ve"
"Gracias "," ","gracia"
"Francisco Henriquez sólo tiene derecho a devolución"," ","francisco henriquez sólo tener derecho a devolución"
"Rutilio Torres eso me interesa grasias por la información "," ","rutilio torrar ese me interesar grasias por el información"
"Francisco Henriquez cuando tengas 60 te devolverán tus ahorros porque no llegaras al monto y el tiempo requerido por tu edad. Asi que te tendrían que devolver tus ahorros.Al menos que la ley cambie y hayan reestructuraciones del gobierno del momento.Te tendrían que regresar tus ahorros mas tu rentabilidad por años, más lo cotizado dn su momento al fondo social mas tu certificado de traspaso si cotizaste en el isss en su momento o en el Inpep. Has tu trámite y allí tienen que indicarte o pregunta a la hora de retirarte, suerte amigo"," ","francisco henriquez cuando tener 60 te devolver tu ahorro porque no llegar al montar y el tiempo requerir por tu edad . asi que te tener que devolver tu ahorros.al menos que el ley cambiar y haber reestructuración del gobernar del momento.te tener que regresar tu ahorro mas tu rentabilidad por año , más el cotizar dn su momento al fondo social mas tu certificar de traspasar si cotizar en el isss en su momento o en el inpep . haber tu trámite y allí tener que indicarte o preguntar a el hora de retirarte , suerte amigar"
"Lupita Campos gracia  por su ayuda por q ahorita tengo 45 años y yano me quieren en los trabajos "," ","lupita campo gracia por su ayudar por q ahorita tener 45 año y yano me querer en el trabajo"
"Francisco Henriquez jajajaja estamos igual, pero estas joven aun ya quisiera tener 45. Ánimos "," ","francisco henriquez jajajaja estar igual , pero este joven aun ya querer tener 45 . ánimo"
"Y usted cuantos años tiene "," ","y tú cuanto año tener"
"Francisco Henriquez  le toca de volucion"," ","francisco henriquez le tocar de volucion"
"Y ESOS 25 años cotizados  para q "," ","y ese 25 año cotizar parar q"
"Osea q con los 8 años q tengo cotizados solo medaran mi debulucion sin otros beneficios a los 60 años "," ","osea q con el 8 año q tener cotizar solo medaran mi debulucion sin otro beneficio a el 60 año"
"Gracias "," ","gracia"
"Y SI LESMANDO EL NUMERO DEL NUT ME PUEDEN MANDAR EL ESTADO DE CUENTAS "," ","y si lesmando el numerar del nut me poder mandar el estar de contar"
"Hola yo tengo 29 años de trabajo me podrían ya todo mi ahorro"," ","hola yo tener 29 año de trabajar me poder ya todo mi ahorrar"
"AFP Crecer yo me comunico con ustedes muchas gracias "," ","afp crecer yo me comunicar con vosotros mucho gracia"
"Para todos debería de ser eso todos necesitamos"," ","parar todo deber de ser ese todo necesitar"
"Independientemente de los años cotizados el dinero tendría que estar disponible para las personas pues muchos no han trabajado 10 años y es un dinero que les corresponde"," ","independientemente de el año cotizar el dinero tener que estar disponible parar el persona pues mucho no haber trabajar 10 año y ser uno dinero que les corresponder"
"Fatima Molina exacto pienso lo mismo $2000 que fueran le pertenecen a quien los trabajo y no al estado y mucho menos ala afp "," ","fatima molina exacto pensar el mismo $ 2000 que ir le pertenecer a quien el trabajar y no al estar y mucho menos ala afp"
"Pero también expliquen que cuando quieran pensionarse van a tener que pagar el total más la rentabilidad que dejó de persibir o sea un platal, o sino que se espere los años equivalentes para poderse pensionar."," ","pero también explicar que cuando querer pensionarse ir a tener que pagar el total más el rentabilidad que dejar de persibir o ser uno platal , o sino que se esperar el año equivalente parar poderse pensionar ."
"Oscar G. Moreno ya no, con la reforma que hubo el año pasado. "," ","oscar gramo . moreno ya no , con el reformar que haber el año pasar ."
"Fatima Molina deberás en parte de la ley está eso??? Porque a una conocida mira le dijeron que tenía que pagar para poder pensionarse."," ","fatima molina deber en partir de el ley estar ese ? ? ? porque a unir conocer mirar le decir que tener que pagar parar poder pensionarse ."
"Oscar G. Moreno ya no, simplemente se lo van a descontar pero no tiene que pagarlo de regreso. "," ","oscar gramo . moreno ya no , simplemente se el ir a descontar pero no tener que pagarlo de regresar ."
"Oscar G. Moreno "," ","oscar gramo . moreno"
"Deberían de quitar esa ley de edad xq nesecitados nuestro dinero ,más los que no tenemos un empleo,que para qué lo tenemos guardado si no estamos cotizando <U+0001F612><U+0001F612><U+0001F612>"," ","deber de quitar ese ley de edad xq nesecitados nuestro dinero , más el que no tener uno emplear , que parar qué el tener guardar si no estar cotizar <U+0001F612> <U+0001F612> <U+0001F612>"
"Iris Cecil Beza "," ","iris cecil beza"
"Buenas tardes y  las AFP están asiendo este beneficio de anticipo.osea confía también?"," ","bueno tardar y el afp estar asir este beneficiar de anticipo.osea confiar también ?"
"Kathy Diaz "," ","kathy diaz"
"Kathy Diaz Las 2 tienen que darte el anticipo si lo deseas y si cumples con los dichosos requisitos, es un decreto de ley. "," ","kathy diaz el 2 tener que darte el anticipar si el desear y si cumplir con el dichoso requerir , ser uno decretar de ley ."
"Y sera que  a partir d este mes d enero comensara el aumento d la pension ya vendra d 304"," ","y sera que a partir d este mes d enero comensara el aumentar d el pension ya vendra d 304"
"Graciasss"," ","graciasss"
"Como poder acceder a una cita por favor"," ","comer poder acceder a unir citar por favor"
"Adónde puedo ingresar para saber más información?? Gracias"," ","adónde poder ingresar parar saber más información ? ? gracia"
"AFP Crecer Muchas Gracias"," ","afp crecer mucho gracia"
"Sólo esos dos bancos estan autorizados   "," ","sólo ese do banco estan autorizar"
"Tengo 47 años quiero saber si aplico"," ","tener 47 año querer saber si aplicar"
"Hasta lo que hemos llegado nos ponen edad y tiempo de cotización para poder gozar de nuestro dinero están mal señores el dinero es nuestro no de ustedes no sean inconscientes a mi ver que las AFP deberían de desaparecer se adueñan de nuestro dinero"," ","hasta el que haber llegar no poner edad y tiempo de cotización parar poder gozar de nuestro dinero estar mal señor el dinero ser nuestro no de vosotros no ser inconsciente a mi ver que el afp deber de desaparecer se adueñar de nuestro dinero"
"Carlos Rivera Diaz   la edad y tiempo de servicio no la pone la AFP  es por ley!!!  Yo así pensaba antes pero no es así  la asamblea legislativa lo decide!!!"," ","carlos rivera diaz el edad y tiempo de servicio no el poner el afp ser por ley ! ! ! yo asir pensar antes pero no ser asir el asamblea legislativo el decidir ! ! !"
"Querer hacer el trámite en linea le ponen las mil trabasTengo dias de estar intentando y nada"," ","querer hacer el trámite en linear le poner el mil trabastengo dias de estar intentar y nadar"
"No me parece q pongan esos años cotizados algunas personas solo han trabajado 2 a 5 años y han puesto su negocio y no se los dan aunque tengan el rango de edad"," ","no me parecer q poner ese año cotizar alguno persona solo haber trabajar 2 a 5 año y haber poner su negociar y no se el dar aunque tener el rango de edad"
"Eugenia Alvarado así es yo trabaje 6 años ahora tengo un pequeño negocio y ese dinero me serviría mucho más con lo del covid no creo que llegue a los 60"," ","eugenia alvarado asir ser yo trabajar 6 año ahora tener uno pequeño negociar y ese dinero me servir mucho más con el del covid no crear que llegar a el 60"
"Y aplican las personas aunque no estén trabajando en empresas"," ","y aplicar el persona aunque no estar trabajar en empresa"
"Ok muchas gracias"," ","ok mucho gracia"
"Que alguien me diga, si uno ya no quisiera tener el dinero en esa afp deberían de devolverlo independientemente lo ocupe o lo pase a otra afp el dinero es de uno si o si"," ","que alguien me decir , si unir ya no querer tener el dinero en ese afp deber de devolverlo independientemente el ocupar o el pasar a otro afp el dinero ser de unir si o si"
"Como puedo a ser para que me den mi anticipo ya paso 5o y acotisado 98"," ","comer poder a ser parar que me dar mi anticipar ya pasar 5o y acotisado 98"
"Para que ponen eso si a la hora de que uno les pide ese anticipo estan poniendo trabas , que 10 años trabajdos y es el dinero de uno no habria por que le pongan requisitos"," ","parar que poner ese si a el hora de que unir les pedir ese anticipar estan poner traba , que 10 año trabajdos y ser el dinero de unir no habria por que le poner requerir"
"Candita Gomez Tienes toda la razón yo fui y en su momento me dijeron que me faltaba un mes y luego cuando regrese me . Dijeron que eran muchos meses los que faltaban y dejé de trabajar menos aún me lo darán. De verdad que no tendrían que ponernos requisitos si es nuestro ahorro."," ","candita gomez tener todo el razón yo ir y en su momento me decir que me faltar uno mes y luego cuando regresar me . decir que erar mucho mes el que faltar y dejar de trabajar menos aun me el dar . de verdad que no tener que ponernos requerir si ser nuestro ahorrar ."
"Candita Gomez eso es cierto como que lismona pide uno si es nuestro dinero "," ","candita gomez ese ser cierto comer que lismona pedir unir si ser nuestro dinero"
"AFP Crecer Bueno yo he querido poder retirar mi 25% y no se si puedo hacerlo porque la vez que fui md. Dijeron me. Faltaban dias  que hacían 1 mes para poder aplicar deje que pasaran como 3 meses luego me. Acerque de. Nuevo y ya no eran dias sino que me. Faltaban meses. No entiendo quiero comunicarme al wsp y no contestan mande mi. Correo y e igual por gusto, y solo me atienden por cita y en mi trabajo actual no me dan permiso y asi como esta la situación no se puede faltar al trabajo. Deberían de ver de que forma nos ayudan con un tel o un wsp, pero respondan porque si no de nada sirve"," ","afp crecer bueno yo haber querer poder retirar mi 25 % y no se si poder hacerlo porque el vez que ir md . decir me . faltar dias que hacer 1 mes parar poder aplicar dejar que pasar comer 3 mes luego me . acercar de . nuevo y ya no erar dias sino que me . faltar mes . no entender querer comunicarme al wsp y no contestar mandar mi . correar y e igual por gustar , y solo me atender por citar y en mi trabajar actual no me dar permiso y asi comer este el situación no se poder faltar al trabajar . deber de ver de que formar no ayudar con uno tel o uno wsp , pero responder porque si no de nadar servir"
"Carla Lizama de Rodríguez "," ","carla lizama de rodríguez"
"Documentos a presentar para cumplir los requisitos"," ","documento a presentar parar cumplir el requerir"
"AFP Crecer hola Vuenas tardes quiero saver si me pueden desir cuanto tiempo tengo cotisaso.ya que hoy ahi que Aser cita en linea para ese proceso y veo que esta malo eso que an echo .es complicado para nosotros que travajamos ."," ","afp crecer hola vuenas tardar querer saver si me poder desir cuanto tiempo tener cotisaso.ya que hoy ahi que aser citar en linear parar ese procesar y ver que este malo ese que an echar . ser complicar parar nosotros que travajamos ."
"AFP Crecer Ummm ok"," ","afp crecer ummm ok"
"Y los que tienen menos de 10 por que no le entregan toda su plata que an cotizado "," ","y el que tener menos de 10 por que no le entregar todo su plata que an cotizar"
"Le deberían de bajar ala edad<U+0001F92D><U+0001F602>"," ","le deber de bajar ala edad <U+0001F92D> <U+0001F602>"
"Katherin Lemus ya casi llegan a los 44 q tenes <U+0001F92D>"," ","katherin lemus ya casi llegar a el 44 q tenes <U+0001F92D>"
"Jose Gutiérrez q galan fuera asi ya cobrara mis ahorros <U+0001F60F>"," ","jose gutiérrez q galan ir asi ya cobrar mi ahorro <U+0001F60F>"
"Si yo cotise solo ciete años me lo devolverán también"," ","si yo cotise solo ciete año me el devolver también"
"Y los que cotizamos cuatro años y ya no nos dieron la oportunidad de laborar me podían brindar más información"," ","y el que cotizar cuatro año y ya no no dar el oportunidad de laborar me poder brindar más información"
"Fijese qué mí hermano tiene 23 años y medio de ahorrar y el yano trabaja lodespidieron por qué el tiene una operación y alado de la operación lesalio una pelota qué lemolesta para trabajar y el estuvo trabajando cuando estuvo ésto de la cuarentena y después porque el noquiso ir a otro lugar lejos y el lesdijo que noporque el noconosia ledijeron que esraba despedido y ahora el sededica a vender bolsas para basura lespedimos señores del AFP crecer qué nopongan años para darles sus ahorros a las personas que necesitan sus ahorros"," ","fijese qué mí hermanar tener 23 año y mediar de ahorrar y el yano trabajar lodespidieron por qué el tener unir operación y alado de el operación lesalio unir pelota qué lemolesta parar trabajar y el estar trabajar cuando estar ésto de el cuarentena y después porque el noquiso ir a otro lugar lejos y el lesdijo que noporque el noconosia ledijeron que esraba despedir y ahora el sededica a vender bolsa parar basura lespedimos señor del afp crecer qué nopongan año parar darles su ahorro a el persona que necesitar su ahorro"
"Sipero el gobierno y ustedes tienen qué ver qué el dinero que tienen es delas personas que están ahorrando y qué tarde o temprano eyos necesitan aser uso de ese dinero más cuándo están enfermos o si notienen para comprar algo qué es urjente ni ustedes ni el gobierno tienen derecho sobre ese dinero si uno lo único que quiere es que entreguen el dinero que uno tiene ahorrado"," ","sipero el gobernar y vosotros tener qué ver qué el dinero que tener ser delas persona que estar ahorrar y qué tardar o temprano eyos necesitar aser usar de ese dinero más cuándo estar enfermo o si notienen parar comprar algo qué ser urjente ni vosotros ni el gobernar tener derecho sobrar ese dinero si unir el único que querer ser que entregar el dinero que unir tener ahorrar"
"Gracias por su apoyo qué Dios los bendiga"," ","gracia por su apoyar qué dios el bendecir"
"Número de teléfono al cual preguntar si ya está listo el cheque de anticipo de saldo"," ","número de teléfono al cual preguntar si ya estar listar el cheque de anticipar de saldar"
"Ahora ya cambiaron era de mujeres de 41 años"," ","ahora ya cambiar erar de mujer de 41 año"
"AFP Crecer Cambiaron porque no estaba asi ase unos 4 meses"," ","afp crecer cambiar porque no estar asi asar uno 4 mes"
"Despues de presntar la soicitud de anticipo cuanto tiempo se tarda el deposito AFP Crecer"," ","despues de presntar el soicitud de anticipar cuanto tiempo se tardar el depositar afp crecer"
"Yo necesito saber si aplico al beneficio del anticipo"," ","yo necesitar saber si aplicar al beneficiar del anticipar"
"AFP Crecer yo los cumplo en mayo los 50 puedo solicitarlos ya"," ","afp crecer yo el cumplir en mayar el 50 poder solicitarlos ya"
"Benas tardes yo ya mande toda la documentacion de antocipo de saldo cuanto tiempo tengo q esperar pra una respuesta"," ","benas tardar yo ya mandar todo el documentacion de antocipo de saldar cuanto tiempo tener q esperar pra unir respuesta"
"AFP Crecer pero para saber si ya esta aprobada como se hace"," ","afp crecer pero parar saber si ya este aprobar comer se hacer"
"AFP Crecer gracias"," ","afp crecer gracia"
"Buenas tardes.quiero saber si ya depositaron mi devolución de ahorros"," ","bueno tardes.quiero saber si ya depositar mi devolución de ahorro"
"Y los que vivimos fuera del pais ?como podemos proceder?"," ","y el que vivir ir del pais ? comer podar proceder ?"
"AFP Crecer que requisitos son los q hay llenar para obtener la devolución .. o si me pueden dar un correo electrónico para comunicarme con uds ?"," ","afp crecer que requerir ser el q haber llenar parar obtener el devolución . . o si me poder dar uno correar electrónico parar comunicarme con uds ?"
"Si se tuviera 29 años laborados más una edad de 49 años se podrá acceder a ese  anticipo. <U+2753><U+2753><U+2753><U+2753><U+2753>"," ","si se tener 29 año laborar más unir edad de 49 año se poder acceder a ese anticipar . <U+2753> <U+2753> <U+2753> <U+2753> <U+2753>"
"Que documentos se necesitan para sacar el adelanto"," ","que documento se necesitar parar sacar el adelantar"
"AFP Crecer gracias "," ","afp crecer gracia"
"Hola buenas tardes esos 10 años tienen que ser continuos o puede ser 5 años en un trabajo y otros 5 años en otro trabajo .me entiende"," ","hola bueno tardar ese 10 año tener que ser continuo o poder ser 5 año en uno trabajar y otro 5 año en otro trabajar . me entender"
"AFP Crecer gracias"," ","afp crecer gracia"
"Necesito confirmar cita para este viernes. Donde puedo consultar."," ","necesitar confirmar citar parar este viernes . donde poder consultar ."
"Yo quiero hacer una cita para el 25% como puedo  hacer"," ","yo querer hacer unir citar parar el 25 % comer poder hacer"
"Pero k días se puede ir a sacar la cita"," ","pero k día se poder ir a sacar el citar"
"Gracias muy mable"," ","gracia muy mable"
"AFP Crecer quisiera me manden la tarjeta! O alguna dirección para poderla descargar en pdf?Saludos."," ","afp crecer querer me mandar el tarjeta ! o alguno dirección parar poderla descargar en pdf ? saludo ."
"Me puede mandar mi estamo de cuenta.yo Jose Gomez granado"," ","me poder mandar mi estamo de cuenta.yo jose gomez granar"
"No es eso connelncambio de ley"," ","no ser ese connelncambio de ley"
"Para retiro de anticipo como puedo hacer?"," ","parar retirar de anticipar comer poder hacer ?"
"Tengo 48 aplico  a las prestaciones"," ","tener 48 aplicar a el prestación"
"He querido crear mi usuario y no me lo  permite porque el correo electrónico que uso no está registrado quisiera saber cómo puedo actualizar ese dato para poder crear mi usuario y así solicitar mi anticipo de saldo "," ","haber querer crear mi usuario y no me el permitir porque el correar electrónico que usar no estar registrar querer saber cómo poder actualizar ese datar parar poder crear mi usuario y asir solicitar mi anticipar de saldar"
"Buenos  dias yo ya recibí el 25% de mis ahorros  pero  me enfermé  y no pude  realizar  mis proyectos  ,pregunta puedo optar por otro 25% , tengo 58 años  y quiero  trabajar  independientemente  porque a esta  edad no me dan trabajo o tienen  algún programa que preste para emprender un negocio "," ","bueno dias yo ya recibir el 25 % de mi ahorro pero me enfermar y no poder realizar mi proyecto , preguntar poder optar por otro 25 % , tener 58 año y querer trabajar independientemente porque a este edad no me dar trabajar o tener alguno programar que prestar parar emprender uno negociar"
"Y para jubilarse  aplicó o que tengo que hacer  tengo  58 años"," ","y parar jubilarse aplicar o que tener que hacer tener 58 año"
"No importa que haya retirado  el 25% de mis ahorros"," ","no importar que haber retirar el 25 % de mi ahorro"
"O si me perjudica para  la  hora de evaluación "," ","o si me perjudicar parar el hora de evaluación"
"Que significa BET"," ","que significar bet"
"Y esa información  para saber si tengo 25 años cotizados  me la podría  dar usted "," ","y ese información parar saber si tener 25 año cotizar me el poder dar tú"
"Y me puede regalar mis años cotizados para saber en rango aplico porfa"," ","y me poder regalar mi año cotizar parar saber en rango aplicar porfa"
"Ya ise la cita con las afpPero tuve que ASER otro coreo porque el que tenía no me abría.mi pregunta es el nuevo coreo que tengo ya lorejistro el sistema delas afp"," ","ya ise el citar con el afppero tener que aser otro corear porque el que tener no me abría.mi preguntar ser el nuevo corear que tener ya lorejistro el sistema delas afp"
"Buenas. Tardes. Un ejecutivo me dijo. Que erann 15 días. Para hacer depósito del  25 %"," ","bueno . tardar . uno ejecutivo me decir . que erann 15 día . parar hacer depósito del 25 %"
"Hola necesito un estado de cuenta  "," ","hola necesitar uno estar de contar"
"Yo no tengo los 10 años cotizados xque hay empresas que se lo descuentan a uno y no los reflejan podría pedir un anticipo de mi dinero?"," ","yo no tener el 10 año cotizar xque haber empresa que se el descontar a unir y no el reflejar poder pedir uno anticipar de mi dinero ?"
"Buenas tardes..tengo el problema que cuando quiero ingresar el correo me dice que no es el que yo registre en sus datos..y el numero de atencion nunca contestan para pedir cita."," ","bueno tardar . . tener el problema que cuando querer ingresar el correar me decir que no ser el que yo registrar en su dato . . y el numerar de atencion nunca contestar parar pedir citar ."
"quiero concertar una cita para AFP crecer.  Pero ya."," ","querer concertar unir citar parar afp crecer . pero ya ."
"Solo necesito saber si hay que hacer cita, para obtener constancia de que no soy patrono y no tengo cuotas pendientes, no soy afiliado, pero me lo piden en mi lugar de trabajo"," ","solo necesitar saber si haber que hacer citar , parar obtener constancia de que no ser patrono y no tener cuota pendiente , no ser afiliar , pero me el pedir en mi lugar de trabajar"
"Buenos días podrá ayudarme para hacer cita o como se hace para firmar de sobrevivencia??"," ","bueno día poder ayudarme parar hacer citar o comer se hacer parar firmar de sobrevivencia ? ?"
"Como puedo saber cual es mi saldo"," ","comer poder saber cual ser mi saldar"
"Hola buenos días como puedo actualizar mis datos"," ","hola bueno día comer poder actualizar mi dato"
"AFP Crecer gracias "," ","afp crecer gracia"
"Nesesito ahutualizar. Datos no puedo para antisipo de ahorro."," ","nesesito ahutualizar . dato no poder parar antisipo de ahorrar ."
"Mi esposo quiere actualisar sus datos y nole acepta su contra de correo porque esta toda en minuscula que puede haser"," ","mi esposar querer actualisar su dato y nole aceptar su contra de correar porque este todo en minuscula que poder haser"
"AFP Crecer quiere haser lodel usuario y nole acepta el correo"," ","afp crecer querer haser lodel usuario y nole aceptar el correar"
"Necesito saber como puedo hacer para que me regresen mi dinero  según la última ley de los que ya no residimos en El Salvador?"," ","necesitar saber comer poder hacer parar que me regresar mi dinero según el último ley de el que ya no residir en el salvador ?"
"AFP Crecer Gracias. "," ","afp crecer gracia ."
"AFP Crecer  Se sabe si darán el 100% o un porcentaje?  "," ","afp crecer se saber si dar el 100 % o uno porcentaje ?"
"Cess Kñas Todo, Cesar"," ","cess kñas todo , cesar"
"Rosmery Vigil "," ","rosmery vigil"
"Liss Ochoa  Gracias "," ","liss ochoa gracia"
"Rosmery Vigil jiiiu"," ","rosmery vigil jiiiu"
"Buenas tardes que se entiende por actualizar datos"," ","bueno tardar que se entender por actualizar dato"
"AFP Crecer "," ","afp crecer"
"Buenos días, desde noviembre 2020 envié los documentos que me pidieron para actualizar mi nombre y aún no recibo respuesta ni veo actualizada la información, lo he hecho por correo y whatsapp. Cuánto tiempo más debo esperar? Graciasa."," ","bueno día , desde noviembre 2020 enviar el documento que me pedir parar actualizar mi nombrar y aun no recibir respuesta ni ver actualizar el información , el haber hacer por correar y whatsapp . cuánto tiempo más deber esperar ? graciasa ."
"Buenas tardes yo quiero actulizar mi correo como tengo que hacer"," ","bueno tardar yo querer actulizar mi correar comer tener que hacer"
"Hola quisiera saber mi papá en este mes cumple 50 años y cuenta con 10 años acotizando es verdad q puede retirar un 25por ciento de sus ahorros le agradecería la informacion"," ","hola querer saber mi papá en este mes cumplir 50 año y contar con 10 año acotizando ser verdad q poder retirar uno 25por ciento de su ahorro le agradecer el informacion"
"Gracias"," ","gracia"
"Yo quisiera saber mi estado de cuenta xf"," ","yo querer saber mi estar de contar xf"
"Buenos días mi esposo quiere sacar SITA y no le contestan en el WhatsApp"," ","bueno día mi esposar querer sacar sito y no le contestar en el whatsapp"
"AFP Crecer ok gracias muy amable"," ","afp crecer ok gracia muy amable"
"No puedo hacer una cita para un estado de cuenta me urge un estado para un trámite personal"," ","no poder hacer unir citar parar uno estar de contar me urgir uno estar parar uno trámite personal"
"AFP Crecer ya lo hice a whatsapp y no me dan respuesta desde el vienes les escribi"," ","afp crecer ya el hacer a whatsapp y no me dar respuesta desde el venir les escribi"
