"X.U.FEFF.Comment","text_tokens","V3"
"Fany Miranda Con mucho gusto te ayudaremos. "," ","fany miranda con mucho gustar te ayudar ."
"Muchas gracias"," ","mucho gracia"
"Fany Miranda Estamos para ayudarte."," ","fany miranda estar parar ayudarte ."
"Necesito hacer unas consultas,  pero el 2211 9393  no responde, no responden por WhatsApp y ayer intenté pasar a la agencia Alameda Araujo y ni me quise bajar de carro, pues desborda de gente en el sol y bajo un canopi"," ","necesitar hacer unir consulta , pero el 2211 9393 no responder , no responder por whatsapp y ayer intentar pasar a el agenciar alameda araujo y ni me querer bajar de carro , pues desbordar de gente en el sol y bajar uno canopi"
"Patricia Garcia Chavez Te hemos respondido vía inbox."," ","patricio garcia chavez te haber responder vía inbox ."
"Necesito una constancia de jubilación que necesito"," ","necesitar unir constancia de jubilación que necesitar"
"Ruth Mariel Lázaro Te hemos respondido vía inbox."," ","ruth mariel lázaro te haber responder vía inbox ."
"Buenas tardes igual que otras personas a mi no me han confirmado si el video que envié para comprobar mi sobrevivencia estaba correcto."," ","bueno tardar igual que otro persona a mi no me haber confirmar si el video que enviar parar comprobar mi sobrevivencia estar correcto ."
"Consuelo Chacón Te hemos respondido vía inbox. "," ","consolar chacón te haber responder vía inbox ."
"Me gustaría me mandaran mi estado de cuentas"," ","me gustar me mandar mi estar de contar"
"Victor Garcia Te hemos respondido vía inbox."," ","victor garcia te haber responder vía inbox ."
"Hola buenos dias me podrian embiar mi estado de cuentas x favor"," ","hola bueno dias me podrian embiar mi estar de contar x favor"
"Charlie Hernandez Te hemos respondido vía inbox."," ","charlie hernandez te haber responder vía inbox ."
"Wendy Garcia mira"," ","wendy garcia mirar"
"Patricia Beltran , pregunta por aquí "," ","patricio beltran , preguntar por aquí"
"Gracias <U+0001F64F>.  "," ","gracia <U+0001F64F> ."
"Hola cómo puedo saber si estoy afiliada a esta AFP ???"," ","hola cómo poder saber si estar afiliado a este afp ? ? ?"
"Esperanza Flores Te hemos respondido vía inbox."," ","esperanzar flor te haber responder vía inbox ."
"Buenoa dias.. como puedo hacer para hacer el tramite desde casa"," ","buenoa dias . . comer poder hacer parar hacer el tramitar desde casar"
"Odilia Lourdes Jovel Te hemos respondido vía inbox."," ","odilia lourdes jovel te haber responder vía inbox ."
"Quiero ingresar para reportarme por sobrevivencia"," ","querer ingresar parar reportarme por sobrevivencia"
"José Mario Coto Vázquez Hola, queremos cuidar de la salud de nuestros pensionados, por lo que hemos habilitado los siguientes canales para realizar la comprobación de sobrevivencia sin que se tenga que visitar una agencia: "," ","josé mario cotar vázquez hola , querer cuidar de el salud de nuestro pensionado , por el que haber habilitar el siguiente canal parar realizar el comprobación de sobrevivencia sin que se tener que visitar unir agenciar :"
"www.crecer.gob.sv"," ","www.crecer.gob.sv"
"Quiero ingresar"," ","querer ingresar"
"José Mario Coto Vázquez Hola, nuestro sitio web es www.crecer.com.sv . ¡Saludos!"," ","josé mario cotar vázquez hola , nuestro sitiar web ser www.crecer.com.sv . ¡ saludo !"
"Como puedo hacer para obtener cita para la bonificación del año"," ","comer poder hacer parar obtener citar parar el bonificación del año"
"Agustín Quiterio Hola, para agendar cita debes ingresar a bit.ly/CitaEnAgencia y escoger agencia, día y hora de tu visita. Saludos."," ","agustín quiterio hola , parar agendar citar debe ingresar a bit.ly / citaenagencia y escoger agenciar , día y hora de tu visitar . saludo ."
"si no tengo correo registrado con ustedes , como puede hacer? tengo que ir a la agencia para actualizar mis datos o como ?"," ","si no tener correar registrar con vosotros , comer poder hacer ? tener que ir a el agenciar parar actualizar mi dato o comer ?"
"Mery Arguett Hola, para actualizar tus datos puedes llamar al 2211-9393, escribir al whatsapp 6161-2222, enviar un mensaje inbox en Facebook o Twitter, ingresar a tu usuario Crecer en https://enlinea.crecer.com.sv/ o escribir al correo atencion@crecer.com.sv y con mucho gusto te ayudaremos. Saludos."," ","mery arguett hola , parar actualizar tu dato poder llamar al 2211-9393 , escribir al whatsapp 6161-2222 , enviar uno mensaje inbox en facebook o twitter , ingresar a tu usuario crecer en https://enlinea.crecer.com.sv/ o escribir al correar atencion @crecer . com.sv y con mucho gustar te ayudar . saludo ."
"Fecha de pago de pensión de mes de enero?"," ","fechar de pagar de pensión de mes de enero ?"
"Alexis Romero Hola, te compartimos el calendario de pago de pensiones 2021:"," ","alexis romero hola , te compartir el calendario de pagar de pensión 2021 :"
"Mi esposo está queriendo sacar sita y no puede ya llamo y ya puso mensaje en el WhatsApp y nada"," ","mi esposar estar querer sacar sito y no poder ya llamar y ya poner mensaje en el whatsapp y nadar"
"Maria Miranda Hola, para agendar cita debes ingresar a bit.ly/CitaEnAgencia y escoger agencia, día y hora de tu visita. Saludos."," ","maria miranda hola , parar agendar citar debe ingresar a bit.ly / citaenagencia y escoger agenciar , día y hora de tu visitar . saludo ."
"Me podrían responder en q bancos depositan los anticipos porfavor??"," ","me poder responder en q banco depositar el anticipo porfavor ? ?"
"Foster Benjamin Te hemos respondido vía inbox."," ","foster benjamin te haber responder vía inbox ."
"AFP Crecer mil gracias"," ","afp crecer mil gracia"
"Foster Benjamin Estamos para ayudarte."," ","foster benjamin estar parar ayudarte ."
"Buenos dias señores de AFP Crecer, les escribo para comunicarles que hace 5 dias yo ingrese a la web de la afp de anticipo de saldo, porque este año yo cubria los requisitos, y en la web me lo confirmaron, e ingrese mi dui y la constancia de mi cuenta del banco y cuando termino de hacer el proceso, me saca de la web, lo hice dos veces por si habia error y me paso lo mismo y espere respuesta en mi inbox que es alfrezel@outlook.es y no he recibido ninguna respuesta, escribi al wathsap y tampoco, mi NUP es el 254872870001, les agradeceria bastante si me pueden ayudar, muchas gracias"," ","bueno dias señor de afp crecer , les escribir parar comunicarles que hacer 5 dias yo ingresar a el web de el afp de anticipar de saldar , porque este año yo cubria el requerir , y en el web me el confirmar , e ingresar mi dui y el constancia de mi contar del banco y cuando terminar de hacer el procesar , me sacar de el web , el hacer do vez por si habia error y me pasar el mismo y esperar respuesta en mi inbox que ser alfrezel @outlook . ser y no haber recibir ninguno respuesta , escribi al wathsap y tampoco , mi nup ser el 254872870001 , les agradeceria bastante si me poder ayudar , mucho gracia"
"Guayo Villalobos Zelaya Te hemos respondido vía inbox."," ","guayo villalobos zelaya te haber responder vía inbox ."
"Cumplo 49 el ptoximo 9 de febrero podria aplicar a diferencia que aun me falta un año para los 50"," ","cumplir 49 el ptoximo 9 de febrero podria aplicar a diferenciar que aun me faltar uno año parar el 50"
"Hernandez Gust Hola, te comentamos que la Ley exige cumplir con la edad requisito para solicitar el anticipo de saldo.Saludos. "," ","hernandez gust hola , te comentar que el ley exigir cumplir con el edad requerir parar solicitar el anticipar de saldo.saludos ."
"Señores de AFP ustedes están jugando con uno el año pasado fui a que me dieran información sobre el 25 <U+0001F4AF> la respuesta que me dieron fue que a partir del 2021 todos los de 48 años en adelante ivamos a plicarar para ese 25 <U+0001F4AF> oy vienen con hotra política o mentiras si ese dinero es nuestro dinero no se les está pidiendo dinero de la bolsa de ustedes ni regalado "," ","señor de afp vosotros estar jugar con unir el año pasar ir a que me dar información sobrar el 25 <U+0001F4AF> el respuesta que me dar ir que a partir del 2021 todo el de 48 año en adelantar ivamos a plicarar parar ese 25 <U+0001F4AF> oy venir con hotra político o mentira si ese dinero ser nuestro dinero no se les estar pedir dinero de el bolsa de vosotros ni regalar"
"Amyel Siemens Hola, en la Ley SAP (https://bit.ly/LeySAP)  en el artículo 110-A, establece las edades requisito: "," ","amyel siemens hola , en el ley sap ( https://bit.ly/leysap ) en el artículo 110-a , establecer el edad requerir :"
"Trabajan los sábados kiero saber"," ","trabajar el sábado kiero saber"
"Martinez Carmen Nuestras agencias tienen un horario de lunes a viernes de 8:00am a 5:30pm sin cerrar al mediodía y sábado de 8:00am a 12:00pm. Únicamente la Agencia Soyapango en Plaza Mundo cierra a las 5:00pm de lunes a viernes pero sábado atiende como las demás. Saludos."," ","martinez carmen nuestro agencia tener uno horario de lunes a viernes de 8 : 00am a 5 : 30pm sin cerrar al mediodía y sábado de 8 : 00am a 12 : 00pm . únicamente el agenciar soyapango en plaza mundo cerrar a el 5 : 00pm de lunes a viernes pero sábado atender comer el demás . saludo ."
"Si uno adquiere este beneficio le afectara para la juvilacion?"," ","si unir adquirir este beneficiar le afectar parar el juvilacion ?"
"Keny Garcia , si amiga , pues cuando le hagan los cálculos le descontarán el anticipo que le han otorgado , y en base al saldo que usted tenga lo van a dividir entre veinte años .Pero esto es solo para los que cumplen el tiempo que la ley dice para pensión , pero si su tiempo no reúne los requisitos lo que harán es darle devolución de sus ahorros, le pondré un ejemplo :Si usted tiene $20,000 dólares y pide un anticipo de $5,000 solo le entregarán $ 15, 000 dólares , esto es en caso de devolución."," ","keny garcia , si amigar , pues cuando le hacer el cálculo le descontar el anticipar que le haber otorgar , y en basar al saldar que tú tener el ir a dividir entrar veinte año . pero este ser solo parar el que cumplir el tiempo que el ley decir parar pensión , pero si su tiempo no reunir el requerir el que hacer ser darle devolución de su ahorro , le poner uno ejemplo : si tú tener $ 20,000 dólar y pedir uno anticipar de $ 5,000 solo le entregar $ 15 , 000 dólar , este ser en casar de devolución ."
"Oscar Roberto Romero Barrientos gracias por su informacion"," ","oscar roberto romero barrientos gracia por su informacion"
"Keny Garcia , de nada amiga, "," ","keny garcia , de nadar amigar ,"
"Keny Garcia si porque baja el monto de tus ahorros, ya que la ley de este momento dice que no tienes que devolver el ahorro del 25 % que retires. "," ","keny garcia si porque bajar el montar de tu ahorro , ya que el ley de este momento decir que no tener que devolver el ahorrar del 25 % que retirar ."
"Lupita Campos gracias y si yo tengo $23,000 a la hora dd juvilarme eso lo dividen entre 20?"," ","lupita campo gracia y si yo tener $ 23,000 a el hora dd juvilarme ese el dividir entrar 20 ?"
"Digo 20 años"," ","decir 20 año"
"Keny Garcia Hola, al utilizar el anticipo de saldo (25%) hay diferentes escenarios: "," ","keny garcia hola , al utilizar el anticipar de saldar ( 25 % ) haber diferente escenario :"
"AFP Crecer ok gracias"," ","afp crecer ok gracia"
"Keny Garcia Estamos para ayudarte."," ","keny garcia estar parar ayudarte ."
"Hola merobaron la tarjeta y quiero saber como puedo recuperarla puedo solo ir por que ya yame y  no mecontestan solo me ponen una operadora"," ","hola merobaron el tarjeta y querer saber comer poder recuperarla poder solo ir por que ya yame y no mecontestan solo me poner unir operador"
"Elizabeth Fiqueroa Te hemos respondido vía inbox."," ","elizabeth fiqueroa te haber responder vía inbox ."
"Atienden en oficinas sin previa cita??"," ","atender en oficina sin previo citar ? ?"
"Leticia Ramirez no"," ","leticia ramirez no"
"Leticia Ramirez Hola, para visitar nuestras agencias debes agendar cita,  ingresa a bit.ly/CitaEnAgencia y escoge agencia, día y hora de tu visita. Saludos."," ","leticia ramirez hola , parar visitar nuestro agencia debe agendar citar , ingresar a bit.ly / citaenagencia y escoger agenciar , día y hora de tu visitar . saludo ."
"Hola se puede hacer presente en oficin"," ","hola se poder hacer presentar en oficin"
"Anita Velasco Hola, nuestras agencias están brindando servicio de lunes a viernes de 8am a 4pm y sábado de 8am a 11am y para visitarlas debes agendar tu cita ingresando a https://bit.ly/CitaEnAgencia "," ","anita velasco hola , nuestro agencia estar brindar servicio de lunes a viernes de 8am a 4pm y sábado de 8am a 11am y parar visitarlas debe agendar tu citar ingresar a https://bit.ly/citaenagencia"
"Gracias haré la cita"," ","gracia hacer el citar"
"Anita Velasco Estamos para ayudarte."," ","anita velasco estar parar ayudarte ."
"Gracias"," ","gracia"
"Atienden personalmente en oficinas ..sin que haya hecho cita???"," ","atender personalmente en oficina . . sin que haber hacer citar ? ? ?"
"Leticia Ramirez Hola, para visitar nuestras agencias debes agendar cita, ingresa a bit.ly/CitaEnAgencia y escoge agencia, día y hora de tu visita. Saludos."," ","leticia ramirez hola , parar visitar nuestro agencia debe agendar citar , ingresar a bit.ly / citaenagencia y escoger agenciar , día y hora de tu visitar . saludo ."
"Deberian de dar este beneficio aunq no tengan los dies años cotizados con ellos"," ","deberian de dar este beneficiar aunq no tener el dies año cotizar con ellos"
"Sonya De Los Angeles Garcia Hola, comentarte que esa medida no está a discreción de las AFPs. Nosotros solamente somos aplicadores de la Ley y no creadores o modificadores de ella. Eso es responsabilidad de las autoridades de Gobierno. Saludos."," ","sonya de el angeles garcia hola , comentarte que ese medir no estar a discreción de el afps . nosotros solamente ser aplicador de el ley y no creador o modificador de él . ese ser responsabilidad de el autoridad de gobernar . saludo ."
"Y alos que ya tienen pension por que no les pueden dar parte d los ahorros aunque sea para cancelar las deudas"," ","y alos que ya tener pension por que no les poder dar partir d el ahorro aunque ser parar cancelar el deuda"
"Criss Guerrero porque si ud eligió pensión ni modo, hasta que se le termine el saldo que tiene. "," ","criss guerrero porque si ud elegir pensión ni modo , hasta que se le terminar el saldar que tener ."
"Criss Guerrero Hola, te comentamos que la Ley SAP establece que las personas pensionadas no pueden solicitar anticipo de saldo.Saludos. "," ","criss guerrero hola , te comentar que el ley sap establecer que el persona pensionado no poder solicitar anticipar de saldo.saludos ."
"AFP Crecer graciass"," ","afp crecer graciass"
"Criss Guerrero Estamos para ayudarte."," ","criss guerrero estar parar ayudarte ."
"Yo cumplo año en agosto 2021.sepodra solicitar"," ","yo cumplir año en agostar 2021 . sepodra solicitar"
"Demauriciodejrsus Grande ya puede ir haciendo el trámite"," ","demauriciodejrsus grande ya poder ir hacendar el trámite"
"Deberás sepodra me faltan 7meses para los 50 cree que me atienden"," ","deber sepodra me faltar 7meses parar el 50 crear que me atender"
"Si ya"," ","si ya"
"Albita Torres  usted ya ISO ese tramite"," ","albita torrar tú ya iso ese tramitar"
"Albita Torres iay queir ala oficina contado los papeles"," ","albita torrar iay queir ala oficina contar el papel"
"Usted cuantos meses le faltaban para cumplir los años"," ","tú cuanto mes le faltar parar cumplir el año"
"8 meses me faltan"," ","8 mes me faltar"
"Pero que le dijeron que se podía asi"," ","pero que le decir que se poder asi"
"Albita Torres pero asectaronasi"," ","albita torrar pero asectaronasi"
"Demauriciodejrsus Grande si"," ","demauriciodejrsus grande si"
"Demauriciodejrsus Grande mejor llame al club de pensionados y pregunte para asegurarse es 25349325 de lunes a viernes de 8.am hasta las 4.pm"," ","demauriciodejrsus grande mejor llamar al club de pensionado y preguntar parar asegurarse ser 25349325 de lunes a viernes de 8 . am hasta el 4 . pm"
"Grasias"," ","grasias"
"Iré aprobar.aber que tal"," ","ir aprobar.aber que tal"
"Demauriciodejrsus Grande Hola, te compartimos los requisitos para solicitar el anticipo de saldo:"," ","demauriciodejrsus grande hola , te compartir el requerir parar solicitar el anticipar de saldar :"
"Grasias"," ","grasias"
"Demauriciodejrsus Grande Estamos para ayudarte."," ","demauriciodejrsus grande estar parar ayudarte ."
"Si es que yo estoy con duda.si es necesario visitarlo.para poder actualizar datos.porque les marco por teléfono.ino contesta.i por coreo no puedo porque se me perdió el tele fono quiero actualizar el coreo."," ","si ser que yo estar con duda.si ser necesario visitarlo.para poder actualizar datos.porque les marcar por teléfono.ino contesta.i por corear no poder porque se me perder el tele fono querer actualizar el corear ."
"Demauriciodejrsus Grande Hola, para actualizar tus datos puedes llamar al 2211-9393, escribir al whatsapp 6161-2222, enviar un mensaje inbox en Facebook o Twitter, ingresar a tu usuario Crecer en https://enlinea.crecer.com.sv/ o escribir al correo atencion@crecer.com.sv y con mucho gusto te ayudaremos. Saludos."," ","demauriciodejrsus grande hola , parar actualizar tu dato poder llamar al 2211-9393 , escribir al whatsapp 6161-2222 , enviar uno mensaje inbox en facebook o twitter , ingresar a tu usuario crecer en https://enlinea.crecer.com.sv/ o escribir al correar atencion @crecer . com.sv y con mucho gustar te ayudar . saludo ."
"Hola niña albita.fijese quería saber si se puede ir sin cita.alaajencia"," ","hola niño albita.fijese querer saber si se poder ir sin cita.alaajencia"
"Necesito que me envíen mi estado de cuentas"," ","necesitar que me enviar mi estar de contar"
"Marifel Tadeo Hola, te comentamos que puedes solicitar tu estado de cuenta por diferentes vías: "," ","marifel tadeo hola , te comentar que poder solicitar tu estar de contar por diferente vía :"
"AFP Crecer gracias "," ","afp crecer gracia"
"Marifel Tadeo Estamos para ayudarte."," ","marifel tadeo estar parar ayudarte ."
"Yo cumpliré los 55 en julio ,quiero retirar todos mis ahorros"," ","yo cumplir el 55 en julio , querer retirar todo mi ahorro"
"Marlis Mejía de Valladares , si no tiene los años que la ley dice para obtener la pensión , le darán todo su dinero amiga en eso no se preocupe .Le recomiendo que empiece a recojer información de su vida laboral para que cuando ellos la citen usted ya sabrá los requisitos para obtener su devolución o aplica para pensión."," ","marlis mejía de valladar , si no tener el año que el ley decir parar obtener el pensión , le dar todo su dinero amigar en ese no se preocupar . le recomendar que empezar a recojer información de su vida laboral parar que cuando ellos el citar tú ya saber el requerir parar obtener su devolución o aplicar parar pensión ."
"Marlis Mejía de Valladares sí niña empiece ya porque yo él otro mes cumplo un año de haber comenzado el tramite y aún no tengo nada me a costado obtener cita así que le recomiendo que empiece ya bendiciones y ojalá tenga respuesta "," ","marlis mejía de valladar sí niño empezar ya porque yo él otro mes cumplir uno año de haber comenzar el tramitar y aun no tener nadar me a costar obtener citar asir que le recomendar que empezar ya bendición y ojalá tener respuesta"
"Marlis Mejía de Valladares Hola, te comentamos que para hacer uso de tus ahorros para pensión debes cumplir con la edad establecida por la Ley (55 años para mujeres y 60 años para hombres). Consulta en https://bit.ly/BeneficioVejez Allí podrás verificar los documentos y pasos a seguir.Saludos."," ","marlis mejía de valladar hola , te comentar que parar hacer usar de tu ahorro parar pensión debe cumplir con el edad establecer por el ley ( 55 año parar mujer y 60 año parar hombre ) . consultar en https://bit.ly/beneficiovejez allí poder verificar el documento y paso a seguir.saludos ."
"Evelyn Barahona"," ","evelyn barahona"
"hilos pensionados aplican para este beneficio"," ","hilo pensionado aplicar parar este beneficiar"
"Jesús Escobar Hola, la Ley SAP establece que los pensionados no pueden solicitar anticipo de saldo.Saludos. "," ","jesús escobar hola , el ley sap establecer que el pensionado no poder solicitar anticipar de saldo.saludos ."
"Lo deberían de dar yosolo solo cotize 4 años y como tengo ya 37 nomedan trabajo en empresa por la edad"," ","el deber de dar yosolo solo cotize 4 año y comer tener ya 37 nomedan trabajar en empresa por el edad"
"Maria Batres mija estas bien joven aún. Y si hay trabajo para esa edad. "," ","maria batres mija este bien joven aun . y si haber trabajar parar ese edad ."
"Maria Batres Hola, comentarte que esa medida no está a discreción de las AFPs. Nosotros solamente somos aplicadores de la Ley y no creadores o modificadores de ella. Eso es responsabilidad de las autoridades de Gobierno. Saludos."," ","maria batres hola , comentarte que ese medir no estar a discreción de el afps . nosotros solamente ser aplicador de el ley y no creador o modificador de él . ese ser responsabilidad de el autoridad de gobernar . saludo ."
"Lupita Campos rebuscado  y Nome sale nada"," ","lupita campo rebuscar y nome salar nadar"
"Quiero saber si a los estamos sin trabajo podemos aplicar al anticipo"," ","querer saber si a el estar sin trabajar podar aplicar al anticipar"
"Ssaul Serrano hola amigo si tienes la edad y los años que piden de cotización si aplicas "," ","ssaul serrano hola amigar si tener el edad y el año que pedir de cotización si aplicar"
"Ssaul Serrano Hola, te compartimos los requisitos para solicitar el anticipo de saldo:"," ","ssaul serrano hola , te compartir el requerir parar solicitar el anticipar de saldar :"
"Que trámite puedo hacer"," ","que trámite poder hacer"
"Ssaul Serrano Hola, el trámite puede realizarlo: 1) Visitando una agencia agendando cita en: bit.ly/CitaEnAgencia2) Escribiendo al correo: atencion@crecer.com.sv 3) Desde su usuario web Crecer: bit.ly/UsuarioWebCrecerSaludos."," ","ssaul serrano hola , el trámite poder realizarlo : 1 ) visitar unir agenciar agendando citar en : bit.ly / citaenagencia2 ) escribir al correar : atencion @crecer . com.sv 3 ) desde su usuario web crecer : bit.ly / usuariowebcrecersaludos ."
"Yo cumplo los 55 este año puedo empezar a hacer los trámites para que me devuelvan mis ahorros??"," ","yo cumplir el 55 este año poder empezar a hacer el trámite parar que me devolver mi ahorro ? ?"
"Vidaure Marina Hola, puedes iniciar tu trámite de retiro de ahorros al tener la edad legal de retiro.Saludos. "," ","vidaure marinar hola , poder iniciar tu trámite de retirar de ahorro al tener el edad legal de retiro.saludos ."
"Cuando van a depositar lo de enero?"," ","cuando ir a depositar el de enero ?"
"Isabel Valle Peña Hola, te compartimos el calendarios de pago de pensiones 2021: bit.ly/PagoPensión2021 Saludos."," ","isabel vallar peña hola , te compartir el calendario de pagar de pensión 2021 : bit.ly / pagopensión2021 saludo ."
"ME PUEDEN EXPLICAR AMIGOS Q SABEN SI YO Q SOLO COTICE 8 AÑOS AL TENER LOS 60 MEDARAN PENSIÓN ONO POR ES MI TRABAJO Q TENGO AHI Y NECESITÓ "," ","me poder explicar amigo q saber si yo q solo cotizar 8 año al tener el 60 medaran pensión ono por ser mi trabajar q tener ahi y necesitar"
"Francisco Henriquez  si por la edad le dan lo cotizado no es pension pero si le devuelven haga el tramite"," ","francisco henriquez si por el edad le dar el cotizar no ser pension pero si le devolver hacer el tramitar"
"Francisco Henriquez  hola no te dan pension sino que te devuelven tu dinero amigo ya que para jubilarte son mas años de trabajo"," ","francisco henriquez hola no te dar pension sino que te devolver tu dinero amigar ya que parar jubilarte ser mas año de trabajar"
"Y medarian todo por q tengo como 5000 $"," ","y medarian todo por q tener comer 5000 $"
"Y puedo en pesar el trasmite ya "," ","y poder en pesar el trasmitir ya"
"Si puede amigo"," ","si poder amigar"
"Francisco Henriquez  si ya tiene 60 años puede hacer ese tramite ya, no le van a dar  pensión pero si le daran ese ahorro. Ese dinero es suyo. Suerte!¡"," ","francisco henriquez si ya tener 60 año poder hacer ese tramitar ya , no le ir a dar pensión pero si le daran ese ahorrar . ese dinero ser suyo . suerte ! ¡"
"Francisco Henriquez si tiene los 60 años puede iniciar el trámite le le darán todo el dinero de un sólo o por depósito dependiendo la cantidad"," ","francisco henriquez si tener el 60 año poder iniciar el trámite le le dar todo el dinero de uno sólo o por depósito depender el cantidad"
"GRACIAS LES AGRADESCO MUCHO "," ","gracia les agradesco mucho"
"Francisco Henriquez su pensión no se la darán porque tendría que haber cotizado 30 años!!! Pero si le regresaron lo que ahorró esos ocho años de una ves"," ","francisco henriquez su pensión no se el dar porque tener que haber cotizar 30 año ! ! ! pero si le regresar el que ahorrar ese ocho año de unir ve"
"Gracias "," ","gracia"
"Francisco Henriquez sólo tiene derecho a devolución"," ","francisco henriquez sólo tener derecho a devolución"
"Rutilio Torres eso me interesa grasias por la información "," ","rutilio torrar ese me interesar grasias por el información"
"Francisco Henriquez cuando tengas 60 te devolverán tus ahorros porque no llegaras al monto y el tiempo requerido por tu edad. Asi que te tendrían que devolver tus ahorros.Al menos que la ley cambie y hayan reestructuraciones del gobierno del momento.Te tendrían que regresar tus ahorros mas tu rentabilidad por años, más lo cotizado dn su momento al fondo social mas tu certificado de traspaso si cotizaste en el isss en su momento o en el Inpep. Has tu trámite y allí tienen que indicarte o pregunta a la hora de retirarte, suerte amigo"," ","francisco henriquez cuando tener 60 te devolver tu ahorro porque no llegar al montar y el tiempo requerir por tu edad . asi que te tener que devolver tu ahorros.al menos que el ley cambiar y haber reestructuración del gobernar del momento.te tener que regresar tu ahorro mas tu rentabilidad por año , más el cotizar dn su momento al fondo social mas tu certificar de traspasar si cotizar en el isss en su momento o en el inpep . haber tu trámite y allí tener que indicarte o preguntar a el hora de retirarte , suerte amigar"
"Lupita Campos gracia  por su ayuda por q ahorita tengo 45 años y yano me quieren en los trabajos "," ","lupita campo gracia por su ayudar por q ahorita tener 45 año y yano me querer en el trabajo"
"Francisco Henriquez jajajaja estamos igual, pero estas joven aun ya quisiera tener 45. Ánimos "," ","francisco henriquez jajajaja estar igual , pero este joven aun ya querer tener 45 . ánimo"
"Y usted cuantos años tiene "," ","y tú cuanto año tener"
"Francisco Henriquez  le toca de volucion"," ","francisco henriquez le tocar de volucion"
"Francisco Henriquez Hola, te comentamos que para una devolución de saldo, la Ley señala que debes cumplir con la edad legal de retiro (55 años en el caso de las mujeres y 60 años en el caso de los hombres) siempre y cuando no cumplas con 25 años cotizados. Mientras no tengas la edad, no puedes solicitar la devolución del ahorro. Tu ahorro permanecerá en una cuenta a tu nombre ganando rentabilidad para que puedas utilizarlo llegada la edad. "," ","francisco henriquez hola , te comentar que parar unir devolución de saldar , el ley señalar que debe cumplir con el edad legal de retirar ( 55 año en el casar de el mujer y 60 año en el casar de el hombre ) siempre y cuando no cumplir con 25 año cotizar . mientras no tener el edad , no poder solicitar el devolución del ahorrar . tu ahorrar permanecer en unir contar a tu nombrar ganar rentabilidad parar que poder utilizarlo llegar el edad ."
"Y ESOS 25 años cotizados  para q "," ","y ese 25 año cotizar parar q"
"Francisco Henriquez Hola, te comentamos que los 25 años son necesarios para que tengas beneficio de pensión, de lo contrario podrás optar a devolución de ahorros. Saludos. "," ","francisco henriquez hola , te comentar que el 25 año ser necesario parar que tener beneficiar de pensión , de el contrario poder optar a devolución de ahorro . saludo ."
"Osea q con los 8 años q tengo cotizados solo medaran mi debulucion sin otros beneficios a los 60 años "," ","osea q con el 8 año q tener cotizar solo medaran mi debulucion sin otro beneficio a el 60 año"
"Francisco Henriquez Hola,  hay diferentes escenarios: 1. Si no reúnes 25 años cotizados, puedes optar a devolución de saldo o BET. 2. Si reúnes 25 años cotizados podrás realizar el trámite de pensión. El beneficio se recibirá acorde a lo proyectado en tu resolución. Saludos."," ","francisco henriquez hola , haber diferente escenario : 1 . si no reunir 25 año cotizar , poder optar a devolución de saldar o bet . 2 . si reunir 25 año cotizar poder realizar el trámite de pensión . el beneficiar se recibir acorde a el proyectar en tu resolución . saludo ."
"Gracias "," ","gracia"
"Francisco Henriquez Estamos para ayudarte."," ","francisco henriquez estar parar ayudarte ."
"Y SI LESMANDO EL NUMERO DEL NUT ME PUEDEN MANDAR EL ESTADO DE CUENTAS "," ","y si lesmando el numerar del nut me poder mandar el estar de contar"
"Francisco Henriquez Hola, puedes enviar tus datos vía inbox para solicitar el envío de tu estado de cuenta.Saludos."," ","francisco henriquez hola , poder enviar tu dato vía inbox parar solicitar el enviar de tu estar de cuenta.saludos ."
"Hola yo tengo 29 años de trabajo me podrían ya todo mi ahorro"," ","hola yo tener 29 año de trabajar me poder ya todo mi ahorrar"
"Adali Martinez Hola, te comentamos que para hacer uso de tus ahorros para pensión debes cumplir con la edad establecida por la Ley (55 años para mujeres y 60 años para hombres). "," ","adali martinez hola , te comentar que parar hacer usar de tu ahorro parar pensión debe cumplir con el edad establecer por el ley ( 55 año parar mujer y 60 año parar hombre ) ."
"AFP Crecer yo me comunico con ustedes muchas gracias "," ","afp crecer yo me comunicar con vosotros mucho gracia"
"Adali Martinez Estamos para ayudarte."," ","adali martinez estar parar ayudarte ."
"Para todos debería de ser eso todos necesitamos"," ","parar todo deber de ser ese todo necesitar"
"Reina Vega Hola, comentarte que esa medida no está a discreción de las AFPs. Nosotros solamente somos aplicadores de la Ley y no creadores o modificadores de ella. Eso es responsabilidad de las autoridades de Gobierno. Saludos."," ","reinar vega hola , comentarte que ese medir no estar a discreción de el afps . nosotros solamente ser aplicador de el ley y no creador o modificador de él . ese ser responsabilidad de el autoridad de gobernar . saludo ."
"Independientemente de los años cotizados el dinero tendría que estar disponible para las personas pues muchos no han trabajado 10 años y es un dinero que les corresponde"," ","independientemente de el año cotizar el dinero tener que estar disponible parar el persona pues mucho no haber trabajar 10 año y ser uno dinero que les corresponder"
"Fatima Molina exacto pienso lo mismo $2000 que fueran le pertenecen a quien los trabajo y no al estado y mucho menos ala afp "," ","fatima molina exacto pensar el mismo $ 2000 que ir le pertenecer a quien el trabajar y no al estar y mucho menos ala afp"
